name,price,currency,image_url,image_location
150 Red King Men's Cooling Oil 100 ml,139,BDT,https://chaldn.com/_mpimage/red-king-mens-cooling-oil-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132636&q=best&v=1&m=400&webp=1,images/150_Red_King_Mens_Cooling_Oil_100_ml.jpg
Godrej Expert Shampoo Black Hair Color (Bowl Free),50,BDT,https://chaldn.com/_mpimage/godrej-expert-shampoo-black-hair-color-bowl-free?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D70389&q=low&v=1&m=400&webp=1,images/Godrej_Expert_Shampoo_Black_Hair_Color_Bowl_Free.jpg
Ujjwala Care Gloss Hair Serum 100 ml,490,BDT,https://chaldn.com/_mpimage/ujjwala-care-gloss-hair-serum-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177345&q=best&v=1&m=400&webp=1,images/Ujjwala_Care_Gloss_Hair_Serum_100_ml.jpg
Ujjwala Care Anti Hairfall Men Hair Oil 100 ml,200,BDT,https://chaldn.com/_mpimage/ujjwala-care-anti-hairfall-men-hair-oil-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177343&q=best&v=1&m=400&webp=1,images/Ujjwala_Care_Anti_Hairfall_Men_Hair_Oil_100_ml.jpg
Beardo Mustache & Beard Extra Strong Wax 50 gm,1099,BDT,https://chaldn.com/_mpimage/beardo-mustache-beard-extra-strong-wax-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126398&q=best&v=1&m=400&webp=1,images/Beardo_Mustache__Beard_Extra_Strong_Wax_50_gm.jpg
Red King Men's Cooling Oil 200 ml,280,BDT,https://chaldn.com/_mpimage/red-king-mens-cooling-oil-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132637&q=best&v=1&m=400&webp=1,images/Red_King_Mens_Cooling_Oil_200_ml.jpg
Bigen Hair Color & Conditioner (Light Brown) 80 gm,750,BDT,https://chaldn.com/_mpimage/bigen-hair-color-conditioner-light-brown-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125773&q=best&v=1&m=400&webp=1,images/Bigen_Hair_Color__Conditioner_Light_Brown_80_gm.jpg
Bigen Hair Color & Conditioner (Natural Brown) 80 gm,700,BDT,https://chaldn.com/_mpimage/bigen-hair-color-conditioner-natural-brown-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D71945&q=best&v=1&m=400&webp=1,images/Bigen_Hair_Color__Conditioner_Natural_Brown_80_gm.jpg
Bigen Hair Color & Conditioner (Dark Brown) 80 gm,700,BDT,https://chaldn.com/_mpimage/bigen-hair-color-conditioner-dark-brown-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D71944&q=best&v=1&m=400&webp=1,images/Bigen_Hair_Color__Conditioner_Dark_Brown_80_gm.jpg
Bigen Hair Color & Conditioner (Natural Black) 80 gm,700,BDT,https://chaldn.com/_mpimage/bigen-hair-color-conditioner-natural-black-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125774&q=best&v=1&m=400&m=400&webp=1,images/Bigen_Hair_Color__Conditioner_Natural_Black_80_gm.jpg
Livon Hair Serum 18 ml,140,BDT,https://chaldn.com/_mpimage/livon-hair-serum-18-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130305&q=best&v=1&m=400&webp=1,images/Livon_Hair_Serum_18_ml.jpg
Parachute Advansed Aloe Vera Hair Oil 250 ml 2 pcs,640,BDT,https://chaldn.com/_mpimage/parachute-advansed-aloe-vera-hair-oil-250-ml-2-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D109555&q=best&v=1&m=400&webp=1,images/Parachute_Advansed_Aloe_Vera_Hair_Oil_250_ml_2_pcs.jpg
Livon Hair Serum 50 ml,300,BDT,https://chaldn.com/_mpimage/livon-hair-serum-50-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130306&q=best&v=1&m=400&webp=1,images/Livon_Hair_Serum_50_ml.jpg
600 Gatsby Water Gloss Soft 150 gm,519,BDT,https://chaldn.com/_mpimage/gatsby-water-gloss-soft-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D182485&q=best&v=1&m=400&webp=1,images/600_Gatsby_Water_Gloss_Soft_150_gm.jpg
