name,price,currency,image_url,image_location
Comely Shower Gel (Sunshine Garden) 350 ml,300,BDT,https://chaldn.com/_mpimage/comely-shower-gel-sunshine-garden-350-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186422&q=best&v=1&m=400&webp=1,images/Comely_Shower_Gel_Sunshine_Garden_350_ml.jpg
The Dermalix Rose Soothing Shower Gel 250 ml,350,BDT,https://chaldn.com/_mpimage/the-dermalix-rose-soothing-shower-gel-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D183903&q=best&v=1&m=400&webp=1,images/The_Dermalix_Rose_Soothing_Shower_Gel_250_ml.jpg
Dettol Skincare Bodywash 250 ml,225,BDT,https://chaldn.com/_mpimage/dettol-skincare-bodywash-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D149404&q=best&v=1&m=400&webp=1,images/Dettol_Skincare_Bodywash_250_ml.jpg
Lux Body Wash French Rose & Almond Oil 245 ml,220,BDT,https://chaldn.com/_mpimage/lux-body-wash-french-rose-almond-oil-245-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177276&q=best&v=1&m=400&webp=1,images/Lux_Body_Wash_French_Rose__Almond_Oil_245_ml.jpg
Dettol Aloe Vera Bodywash 250 ml,225,BDT,https://chaldn.com/_mpimage/dettol-aloe-vera-bodywash-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163292&q=best&v=1&m=400&webp=1,images/Dettol_Aloe_Vera_Bodywash_250_ml.jpg
Dettol Cool Bodywash 250 ml,225,BDT,https://chaldn.com/_mpimage/dettol-cool-bodywash-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163291&q=best&v=1&m=400&webp=1,images/Dettol_Cool_Bodywash_250_ml.jpg
Dettol Skincare Bodywash Refill 170 ml,125,BDT,https://chaldn.com/_mpimage/dettol-skincare-bodywash-refill-170-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D153114&q=best&v=1&m=400&webp=1,images/Dettol_Skincare_Bodywash_Refill_170_ml.jpg
Dettol Lasting Fresh Bodywash Refill 170 ml,125,BDT,https://chaldn.com/_mpimage/dettol-lasting-fresh-bodywash-refill-170-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D153113&q=best&v=1&m=400&webp=1,images/Dettol_Lasting_Fresh_Bodywash_Refill_170_ml.jpg
Dettol Original Bodywash 250 ml,200,BDT,https://chaldn.com/_mpimage/dettol-original-bodywash-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D149403&q=best&v=1&m=400&webp=1,images/Dettol_Original_Bodywash_250_ml.jpg
Dettol Fresh Antibacterial Bodywash Citrus & Orange Blossom 250 ml,350,BDT,https://chaldn.com/_mpimage/dettol-fresh-antibacterial-bodywash-citrus-orange-blossom-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D104957&q=best&v=1&m=400&webp=1,images/Dettol_Fresh_Antibacterial_Bodywash_Citrus__Orange_Blossom_250_ml.jpg
Nivea Men Shower Gel Power Fresh 250 ml,700,BDT,https://chaldn.com/_mpimage/nivea-men-shower-gel-power-fresh-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D146828&q=best&v=1&m=400&webp=1,images/Nivea_Men_Shower_Gel_Power_Fresh_250_ml.jpg
Nivea Men Pure Impact Shower Gel 250 ml,650,BDT,https://chaldn.com/_mpimage/nivea-men-pure-impact-shower-gel-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178905&q=best&v=1&m=400&webp=1,images/Nivea_Men_Pure_Impact_Shower_Gel_250_ml.jpg
Biore Mens Hygienic Energy Shower Gel 250 ml,750,BDT,https://chaldn.com/_mpimage/biore-mens-hygienic-energy-shower-gel-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D116352&q=best&v=1&m=400&webp=1,images/Biore_Mens_Hygienic_Energy_Shower_Gel_250_ml.jpg
Biore Mens Cool Energy Shower Gel 250 ml,750,BDT,https://chaldn.com/_mpimage/biore-mens-cool-energy-shower-gel-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D116351&q=best&v=1&m=400&webp=1,images/Biore_Mens_Cool_Energy_Shower_Gel_250_ml.jpg
St. Ives Fresh Skin Apricot Body Wash 400 ml,850,BDT,https://chaldn.com/_mpimage/st-ives-fresh-skin-apricot-body-wash-400-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D134993&q=best&v=1&m=400&webp=1,images/St_Ives_Fresh_Skin_Apricot_Body_Wash_400_ml.jpg
Fiama Gel Bar Soap Patchouli & Macadamia 125 gm,245,BDT,https://chaldn.com/_mpimage/fiama-gel-bar-soap-patchouli-macadamia-125-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D109279&q=best&v=1&m=400&m=400&webp=1,images/Fiama_Gel_Bar_Soap_Patchouli__Macadamia_125_gm.jpg
Nivea Men Shower Gel Active Clean 250 ml,650,BDT,https://chaldn.com/_mpimage/nivea-men-shower-gel-active-clean-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178900&q=best&v=1&m=400&webp=1,images/Nivea_Men_Shower_Gel_Active_Clean_250_ml.jpg
Nivea Men Energy Shower Gel 250 ml,650,BDT,https://chaldn.com/_mpimage/nivea-men-energy-shower-gel-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178899&q=best&v=1&m=400&m=400&webp=1,images/Nivea_Men_Energy_Shower_Gel_250_ml.jpg
Nivea Men Cool Kick Shower Gel 250 ml,650,BDT,https://chaldn.com/_mpimage/nivea-men-cool-kick-shower-gel-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178898&q=best&v=1&m=400&webp=1,images/Nivea_Men_Cool_Kick_Shower_Gel_250_ml.jpg
