name,price,currency,image_url,image_location
2890 Head & Shoulders Smooth & Silky Anti Dandruff Shampoo 1 ltr,2799,BDT,https://chaldn.com/_mpimage/head-shoulders-smooth-silky-anti-dandruff-shampoo-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D160232&q=best&v=1&m=400&webp=1,images/2890_Head__Shoulders_Smooth__Silky_Anti_Dandruff_Shampoo_1_ltr.jpg
Clear Men Shampoo Deep Cleanse 170 ml,270,BDT,https://chaldn.com/_mpimage/clear-men-shampoo-deep-cleanse-170-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D181341&q=best&v=1&m=400&webp=1,images/Clear_Men_Shampoo_Deep_Cleanse_170_ml.jpg
Clear Shampoo Men Cool Sport Menthol Anti Dandruff 330 ml,500,BDT,https://chaldn.com/_mpimage/clear-shampoo-men-cool-sport-menthol-anti-dandruff-330-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128248&q=best&v=1&m=400&webp=1,images/Clear_Shampoo_Men_Cool_Sport_Menthol_Anti_Dandruff_330_ml.jpg
Ujjwala Care Hair Protect Men Shampoo + Conditioner 200 ml,320,BDT,https://chaldn.com/_mpimage/ujjwala-care-hair-protect-men-shampoo-conditioner-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177348&q=best&v=1&m=400&webp=1,images/Ujjwala_Care_Hair_Protect_Men_Shampoo__Conditioner_200_ml.jpg
Clear Men Shampoo Deep Cleanse 330 ml,500,BDT,https://chaldn.com/_mpimage/clear-men-shampoo-deep-cleanse-330-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128246&q=best&v=1&m=400&webp=1,images/Clear_Men_Shampoo_Deep_Cleanse_330_ml.jpg
Herbal Essences White Strawberry & Sweet Mint Conditioner 400 ml,775,BDT,https://chaldn.com/_mpimage/herbal-essences-white-strawberry-sweet-mint-conditioner-400-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D89837&q=best&v=1&m=400&m=400&webp=1,images/Herbal_Essences_White_Strawberry__Sweet_Mint_Conditioner_400_ml.jpg
Herbal Essences Strength Whipped Cocoa Butter Conditioner 400 ml,775,BDT,https://chaldn.com/_mpimage/herbal-essences-strength-whipped-cocoa-butter-conditioner-400-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D89831&q=best&v=1&m=400&m=400&webp=1,images/Herbal_Essences_Strength_Whipped_Cocoa_Butter_Conditioner_400_ml.jpg
Head & Shoulders Cool Menthol Anti Dandruff Shampoo 1 ltr,1800,BDT,https://chaldn.com/_mpimage/head-shoulders-cool-menthol-anti-dandruff-shampoo-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D89811&q=best&v=1&m=400&m=400&webp=1,images/Head__Shoulders_Cool_Menthol_Anti_Dandruff_Shampoo_1_ltr.jpg
Head & Shoulders Smooth & Silky Anti Dandruff Shampoo 340 ml,990,BDT,https://chaldn.com/_mpimage/head-shoulders-smooth-silky-anti-dandruff-shampoo-340-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D160229&q=best&v=1&m=400&webp=1,images/Head__Shoulders_Smooth__Silky_Anti_Dandruff_Shampoo_340_ml.jpg
Head & Shoulders 2 in 1 Cool Menthol Anti Dandruff Shampoo + Conditioner 340 ml,1200,BDT,https://chaldn.com/_mpimage/head-shoulders-cool-menthol-anti-dandruff-shampoo-conditioner-340-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D89699&q=best&v=1&m=400&webp=1,images/Head__Shoulders_2_in_1_Cool_Menthol_Anti_Dandruff_Shampoo__Conditioner_340_ml.jpg
Head & Shoulders 2 in 1 Smooth & Silky Shampoo + Conditioner 180 ml,650,BDT,https://chaldn.com/_mpimage/head-shoulders-2-in-1-smooth-silky-shampoo-conditioner-180-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129162&q=best&v=1&m=400&webp=1,images/Head__Shoulders_2_in_1_Smooth__Silky_Shampoo__Conditioner_180_ml.jpg
Head & Shoulders Cool Menthol Anti Dandruff Shampoo 180 ml,530,BDT,https://chaldn.com/_mpimage/head-shoulders-cool-menthol-anti-dandruff-shampoo-180-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129174&q=best&v=1&m=400&m=400&webp=1,images/Head__Shoulders_Cool_Menthol_Anti_Dandruff_Shampoo_180_ml.jpg
Head & Shoulders Silky Black Anti Dandruff Shampoo 340 ml,990,BDT,https://chaldn.com/_mpimage/head-shoulders-silky-black-anti-dandruff-shampoo-340-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101699&q=best&v=1&m=400&webp=1,images/Head__Shoulders_Silky_Black_Anti_Dandruff_Shampoo_340_ml.jpg
Sunsilk Lively Clean & Fresh Shampoo 300 ml,725,BDT,https://chaldn.com/_mpimage/sunsilk-lively-clean-fresh-shampoo-300-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135700&q=best&v=1&m=400&webp=1,images/Sunsilk_Lively_Clean__Fresh_Shampoo_300_ml.jpg
Clear Shampoo Complete Active Care Anti Dandruff 330 ml,400,BDT,https://chaldn.com/_mpimage/clear-shampoo-complete-active-care-anti-dandruff-330-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128548&q=best&v=1&m=400&webp=1,images/Clear_Shampoo_Complete_Active_Care_Anti_Dandruff_330_ml.jpg
Dove Shampoo Oxygen Moisture 330 ml,470,BDT,https://chaldn.com/_mpimage/dove-shampoo-oxygen-moisture-330-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129588&q=best&v=1&m=400&webp=1,images/Dove_Shampoo_Oxygen_Moisture_330_ml.jpg
Dove Shampoo Intense Repair 170 ml,200,BDT,https://chaldn.com/_mpimage/dove-shampoo-intense-repair-170-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127950&q=best&v=1&m=400&webp=1,images/Dove_Shampoo_Intense_Repair_170_ml.jpg
