name,price,currency,image_url,image_location
Broiler Whole Chicken Leg Skin On (± 50 gm) 1 kg,519,BDT,https://chaldn.com/_mpimage/broiler-whole-chicken-leg-skin-on-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D74666&q=best&v=1&m=400&webp=1,images/Broiler_Whole_Chicken_Leg_Skin_On__50_gm_1_kg.jpg
345 Broiler Chicken Skin On ± 50 gm 1 kg,319,BDT,https://chaldn.com/_mpimage/broiler-chicken-skin-on-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163138&q=best&v=1&m=400&webp=1,images/345_Broiler_Chicken_Skin_On__50_gm_1_kg.jpg
Broiler Chicken Skin Off ± 50 gm 1 kg,359,BDT,https://chaldn.com/_mpimage/broiler-chicken-skin-off-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163139&q=best&v=1&m=400&m=400&webp=1,images/Broiler_Chicken_Skin_Off__50_gm_1_kg.jpg
Broiler Chicken Skin Off ± 50 gm 1.4 kg,489,BDT,https://chaldn.com/_mpimage/broiler-chicken-skin-off-50-gm-14-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163162&q=best&v=1&m=400&m=400&webp=1,images/Broiler_Chicken_Skin_Off__50_gm_14_kg.jpg
Broiler Chicken Breast Boneless ± 50 gm 1 kg,589,BDT,https://chaldn.com/_mpimage/broiler-chicken-breast-boneless-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D74660&q=best&v=1&m=400&m=400&webp=1,images/Broiler_Chicken_Breast_Boneless__50_gm_1_kg.jpg
Chicken Liver (Kolija) ± 25 gm 500 gm,199,BDT,https://chaldn.com/_mpimage/chicken-liver-kolija-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D167892&q=best&v=1&m=400&webp=1,images/Chicken_Liver_Kolija__25_gm_500_gm.jpg
Broiler Chicken Breast Boneless ± 25 gm 500 gm,319,BDT,https://chaldn.com/_mpimage/broiler-chicken-breast-boneless-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D167900&q=best&v=1&m=400&webp=1,images/Broiler_Chicken_Breast_Boneless__25_gm_500_gm.jpg
Bengal Meat Chicken Thigh Keema ± 50 gm 1 kg,635,BDT,https://chaldn.com/_mpimage/bengal-meat-chicken-thigh-keema-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D74662&q=best&v=1&m=400&webp=1,images/Bengal_Meat_Chicken_Thigh_Keema__50_gm_1_kg.jpg
Broiler Chicken Thigh Boneless ± 50 gm 1 kg,499,BDT,https://chaldn.com/_mpimage/broiler-chicken-thigh-boneless-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D74665&q=best&v=1&m=400&webp=1,images/Broiler_Chicken_Thigh_Boneless__50_gm_1_kg.jpg
Bengal Meat Whole Chicken Curry Cut ± 50 gm 1 kg,465,BDT,https://chaldn.com/_mpimage/bengal-meat-whole-chicken-curry-cut-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D74653&q=best&v=1&m=400&webp=1,images/Bengal_Meat_Whole_Chicken_Curry_Cut__50_gm_1_kg.jpg
259 Broiler Chicken Drumsticks ± 25 gm (6-8 pcs) 500 gm,249,BDT,https://chaldn.com/_mpimage/broiler-chicken-drumsticks-25-gm-6-8-pcs-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D167904&q=best&v=1&m=400&webp=1,images/259_Broiler_Chicken_Drumsticks__25_gm_6-8_pcs_500_gm.jpg
245 Broiler Chicken Thigh Boneless ± 25 gm 500 gm,239,BDT,https://chaldn.com/_mpimage/broiler-chicken-thigh-boneless-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D167902&q=best&v=1&m=400&webp=1,images/245_Broiler_Chicken_Thigh_Boneless__25_gm_500_gm.jpg
Broiler Chicken Skin On ± 50 gm 1.4 kg,459,BDT,https://chaldn.com/_mpimage/broiler-chicken-skin-on-50-gm-14-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163161&q=best&v=1&m=400&m=400&webp=1,images/Broiler_Chicken_Skin_On__50_gm_14_kg.jpg
Chaldal Premium Broiler Chicken Wings ± 50 gm 500 gm,219,BDT,https://chaldn.com/_mpimage/chaldal-premium-broiler-chicken-wings-50-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174700&q=best&v=1&m=400&webp=1,images/Chaldal_Premium_Broiler_Chicken_Wings__50_gm_500_gm.jpg
289 Chicken Liver Gizzard Mix 1 kg,239,BDT,https://chaldn.com/_mpimage/chicken-liver-gizzard-mix-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95190&q=best&v=1&m=400&webp=1,images/289_Chicken_Liver_Gizzard_Mix_1_kg.jpg
Chicken Keema (Net Weight ± 50 gm) 1 kg,699,BDT,https://chaldn.com/_mpimage/chicken-keema-net-weight-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D74669&q=best&v=1&m=400&m=400&webp=1,images/Chicken_Keema_Net_Weight__50_gm_1_kg.jpg
Broiler Chicken Wings (± 50 gm) 1 kg,459,BDT,https://chaldn.com/_mpimage/broiler-chicken-wings-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D73933&q=best&v=1&m=400&webp=1,images/Broiler_Chicken_Wings__50_gm_1_kg.jpg
