name,price,currency,image_url,image_location
Broiler Whole Chicken Leg Skin On (± 50 gm) 1 kg,519,BDT,https://chaldn.com/_mpimage/broiler-whole-chicken-leg-skin-on-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D74666&q=best&v=1&m=400&webp=1,images/Broiler_Whole_Chicken_Leg_Skin_On__50_gm_1_kg.jpg
679 Whole Deshi Chicken Skin Off ± 25 gm 500 gm,639,BDT,https://chaldn.com/_mpimage/whole-deshi-chicken-skin-off-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95363&q=best&v=1&m=400&webp=1,images/679_Whole_Deshi_Chicken_Skin_Off__25_gm_500_gm.jpg
345 Broiler Chicken Skin On ± 50 gm 1 kg,319,BDT,https://chaldn.com/_mpimage/broiler-chicken-skin-on-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163138&q=best&v=1&m=400&webp=1,images/345_Broiler_Chicken_Skin_On__50_gm_1_kg.jpg
Broiler Chicken Skin Off ± 50 gm 1 kg,359,BDT,https://chaldn.com/_mpimage/broiler-chicken-skin-off-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163139&q=best&v=1&m=400&m=400&webp=1,images/Broiler_Chicken_Skin_Off__50_gm_1_kg.jpg
375 Cock Chicken Skin Off ± 25 gm 500 gm,339,BDT,https://chaldn.com/_mpimage/cock-chicken-skin-off-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D74651&q=best&v=1&m=400&webp=1,images/375_Cock_Chicken_Skin_Off__25_gm_500_gm.jpg
Beef Boneless ± 25 gm 500 gm,619,BDT,https://chaldn.com/_mpimage/beef-boneless-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D73564&q=low&v=1&m=400&webp=1,images/Beef_Boneless__25_gm_500_gm.jpg
Beef Bone In ± 50 gm 1 kg,799,BDT,https://chaldn.com/_mpimage/beef-bone-in-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D73985&q=low&v=1&m=400&webp=1,images/Beef_Bone_In__50_gm_1_kg.jpg
219 Roast Chicken ± 10 gm 275 gm,199,BDT,https://chaldn.com/_mpimage/roast-chicken-10-gm-275-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D74658&q=best&v=1&m=400&webp=1,images/219_Roast_Chicken__10_gm_275_gm.jpg
Bengal Meat Beef Keema ± 50 gm 1 kg,1050,BDT,https://chaldn.com/_mpimage/bengal-meat-beef-keema-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D74668&q=best&v=1&m=400&m=400&webp=1,images/Bengal_Meat_Beef_Keema__50_gm_1_kg.jpg
479 Beef Liver (Kolija) 500 gm,409,BDT,https://chaldn.com/_mpimage/beef-liver-kolija-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D74674&q=best&v=1&m=400&m=400&webp=1,images/479_Beef_Liver_Kolija_500_gm.jpg
