name,price,currency,image_url,image_location
Olympic Heavy Duty AAA Battery 2 pcs,30,BDT,https://chaldn.com/_mpimage/olympic-heavy-duty-aaa-battery-2-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131555&q=best&v=1&m=400&webp=1,images/Olympic_Heavy_Duty_AAA_Battery_2_pcs.jpg
Sunlite Heavy Duty AAA Battery 2 pcs,30,BDT,https://chaldn.com/_mpimage/sunlite-heavy-duty-aaa-battery-2-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135639&q=best&v=1&m=400&webp=1,images/Sunlite_Heavy_Duty_AAA_Battery_2_pcs.jpg
Olympic Heavy Duty AA Battery 2 pcs,36,BDT,https://chaldn.com/_mpimage/olympic-heavy-duty-aa-battery-2-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101191&q=best&v=1&m=400&webp=1,images/Olympic_Heavy_Duty_AA_Battery_2_pcs.jpg
Sunlite Heavy Duty AA Battery 2 pcs,49,BDT,https://chaldn.com/_mpimage/sunlite-heavy-duty-aa-battery-2-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135638&q=best&v=1&m=400&webp=1,images/Sunlite_Heavy_Duty_AA_Battery_2_pcs.jpg
Olympic Volt Remote Battery 2 pcs,30,BDT,https://chaldn.com/_mpimage/olympic-volt-remote-battery-2-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131562&q=best&v=1&m=400&m=400&webp=1,images/Olympic_Volt_Remote_Battery_2_pcs.jpg
Olympic Volt Pencil Battery Metallic each,18,BDT,https://chaldn.com/_mpimage/olympic-volt-pencil-battery-metallic-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95522&q=best&v=1&m=400&webp=1,images/Olympic_Volt_Pencil_Battery_Metallic_each.jpg
Maxell Alkaline LR44 (A76) Battery 2 pcs,139,BDT,https://chaldn.com/_mpimage/maxell-alkaline-lr44-a76-battery-2-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130640&q=best&v=1&m=400&webp=1,images/Maxell_Alkaline_LR44_A76_Battery_2_pcs.jpg
Energizer Recharge Power Plus Battery AA 2 pcs,675,BDT,https://chaldn.com/_mpimage/energizer-recharge-power-plus-battery-aa-2-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108633&q=best&v=1&m=400&webp=1,images/Energizer_Recharge_Power_Plus_Battery_AA_2_pcs.jpg
Olympic Gold Heavy Duty AA Battery 2 pcs,36,BDT,https://chaldn.com/_mpimage/olympic-gold-heavy-duty-aa-battery-2-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D183203&q=best&v=1&m=400&m=400&webp=1,images/Olympic_Gold_Heavy_Duty_AA_Battery_2_pcs.jpg
Energizer Max Power Battery 1.5V AA 2 pcs,230,BDT,https://chaldn.com/_mpimage/energizer-max-power-battery-15v-aa-2-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108298&q=best&v=1&m=400&m=400&webp=1,images/Energizer_Max_Power_Battery_15V_AA_2_pcs.jpg
Maxell Alkaline Battery Size: AA 2 pcs,255,BDT,https://chaldn.com/_mpimage/maxell-alkaline-battery-size-aa-2-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130637&q=best&v=1&m=400&m=400&webp=1,images/Maxell_Alkaline_Battery_Size_AA_2_pcs.jpg
Sony AA Alkaline Batteries 2 pcs,299,BDT,https://chaldn.com/_mpimage/sony-aa-alkaline-batteries-2-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D1196&q=best&v=1&m=400&webp=1,images/Sony_AA_Alkaline_Batteries_2_pcs.jpg
