name,price,currency,image_url,image_location
Watson Dental Floss Picks Charcoal 50 pcs,269,BDT,https://chaldn.com/_mpimage/watson-dental-floss-picks-charcoal-50-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D137092&q=best&v=1&m=400&webp=1,images/Watson_Dental_Floss_Picks_Charcoal_50_pcs.jpg
Colgate Mouthwash Plax Peppermint 500 ml,869,BDT,https://chaldn.com/_mpimage/colgate-mouthwash-plax-peppermint-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D91383&q=best&v=1&m=400&m=400&webp=1,images/Colgate_Mouthwash_Plax_Peppermint_500_ml.jpg
Listerine Cool Mint Liquid Mouthwash 250 ml,370,BDT,https://chaldn.com/_mpimage/listerine-cool-mint-liquid-mouthwash-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130235&q=best&v=1&m=400&m=400&webp=1,images/Listerine_Cool_Mint_Liquid_Mouthwash_250_ml.jpg
Listerine Original Liquid Mouthwash 250 ml,410,BDT,https://chaldn.com/_mpimage/listerine-original-liquid-mouthwash-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130245&q=best&v=1&m=400&webp=1,images/Listerine_Original_Liquid_Mouthwash_250_ml.jpg
Listerine Original Liquid Mouthwash 500 ml,553,BDT,https://chaldn.com/_mpimage/listerine-original-liquid-mouthwash-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130244&q=best&v=1&m=400&m=400&webp=1,images/Listerine_Original_Liquid_Mouthwash_500_ml.jpg
Listerine Cavity Fighter Liquid Mouthwash 500 ml,541,BDT,https://chaldn.com/_mpimage/listerine-cavity-fighter-liquid-mouthwash-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130233&q=best&v=1&m=400&webp=1,images/Listerine_Cavity_Fighter_Liquid_Mouthwash_500_ml.jpg
Colgate Plax Peppermint Mouth Wash 750 ml,1160,BDT,https://chaldn.com/_mpimage/colgate-plax-peppermint-mouth-wash-750-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127132&q=best&v=1&m=400&webp=1,images/Colgate_Plax_Peppermint_Mouth_Wash_750_ml.jpg
Colgate Plax Peppermint Mouth Wash 500 ml,585,BDT,https://chaldn.com/_mpimage/colgate-plax-peppermint-mouth-wash-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127133&q=best&v=1&m=400&m=400&webp=1,images/Colgate_Plax_Peppermint_Mouth_Wash_500_ml.jpg
Colgate Plax Herbal Salt Mouth Wash 500 ml,1260,BDT,https://chaldn.com/_mpimage/colgate-plax-herbal-salt-mouth-wash-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135607&q=best&v=1&m=400&m=400&webp=1,images/Colgate_Plax_Herbal_Salt_Mouth_Wash_500_ml.jpg
Colgate Plax Freshmint Mouth Wash 750 ml,815,BDT,https://chaldn.com/_mpimage/colgate-plax-freshmint-mouth-wash-750-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127087&q=best&v=1&m=400&m=400&webp=1,images/Colgate_Plax_Freshmint_Mouth_Wash_750_ml.jpg
