name,price,currency,image_url,image_location
Bili Management File A4 (Purple) each,39,BDT,https://chaldn.com/_mpimage/bili-management-file-a4-purple-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126122&q=best&v=1&m=400&webp=1,images/Bili_Management_File_A4_Purple_each.jpg
Bili Management File A4 (Blue) each,39,BDT,https://chaldn.com/_mpimage/bili-management-file-a4-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126121&q=best&v=1&m=400&webp=1,images/Bili_Management_File_A4_Blue_each.jpg
Bili Management File A4 (Green) each,39,BDT,https://chaldn.com/_mpimage/bili-management-file-a4-green-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126119&q=best&v=1&m=400&webp=1,images/Bili_Management_File_A4_Green_each.jpg
Transparent File Folder each,39,BDT,https://chaldn.com/_mpimage/transparent-file-folder-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185005&q=best&v=1&m=400&m=400&webp=1,images/Transparent_File_Folder_each.jpg
Court File (Orange) each,79,BDT,https://chaldn.com/_mpimage/court-file-orange-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D140781&q=best&v=1&m=400&webp=1,images/Court_File_Orange_each.jpg
Court File (Blue) each,79,BDT,https://chaldn.com/_mpimage/court-file-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D140783&q=best&v=1&m=400&webp=1,images/Court_File_Blue_each.jpg
Court File (Yellow) each,69,BDT,https://chaldn.com/_mpimage/court-file-yellow-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D140795&q=best&v=1&m=400&webp=1,images/Court_File_Yellow_each.jpg
RFL Good Luck Three Station File Organizer each,300,BDT,https://chaldn.com/_mpimage/rfl-good-luck-three-station-file-organizer-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133222&q=best&v=1&m=400&webp=1,images/RFL_Good_Luck_Three_Station_File_Organizer_each.jpg
Deli Management File each,35,BDT,https://chaldn.com/_mpimage/deli-management-file-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103723&q=best&v=1&m=400&webp=1,images/Deli_Management_File_each.jpg
Bag File each,649,BDT,https://chaldn.com/_mpimage/bag-file-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D1137&q=low&v=1&m=400&webp=1,images/Bag_File_each.jpg
Court File each,49,BDT,https://chaldn.com/_mpimage/court-file-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127093&q=best&v=1&m=400&webp=1,images/Court_File_each.jpg
