name,price,currency,image_url,image_location
45 Alteco Super Glue 3 gm each,35,BDT,https://chaldn.com/_mpimage/alteco-super-glue-3-gm-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125190&q=best&v=1&m=400&webp=1,images/45_Alteco_Super_Glue_3_gm_each.jpg
Osaka PVC Tape Red (18 mm) 3 pcs,72,BDT,https://chaldn.com/_mpimage/osaka-pvc-tape-red-18-mm-3-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95098&q=best&v=1&m=400&webp=1,images/Osaka_PVC_Tape_Red_18_mm_3_pcs.jpg
Osaka PVC Tape White (18 mm) 3 pcs,71,BDT,https://chaldn.com/_mpimage/osaka-pvc-tape-white-18-mm-3-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126075&q=best&v=1&m=400&webp=1,images/Osaka_PVC_Tape_White_18_mm_3_pcs.jpg
120 Deli Stick Up Glue 36 gm,99,BDT,https://chaldn.com/_mpimage/deli-stick-up-glue-36-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D98010&q=best&v=1&m=400&webp=1,images/120_Deli_Stick_Up_Glue_36_gm.jpg
Deli Packing Tape Dispenser each,610,BDT,https://chaldn.com/_mpimage/deli-packing-tape-dispenser-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D97756&q=best&v=1&m=400&m=400&webp=1,images/Deli_Packing_Tape_Dispenser_each.jpg
Rubber Bands 100 gm,119,BDT,https://chaldn.com/_mpimage/rubber-bands-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133058&q=best&v=1&m=400&webp=1,images/Rubber_Bands_100_gm.jpg
Scotia Transparent Packaging 200 mtr Tape each,175,BDT,https://chaldn.com/_mpimage/scotia-transparent-packaging-200-mtr-tape-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D53461&q=best&v=1&m=400&webp=1,images/Scotia_Transparent_Packaging_200_mtr_Tape_each.jpg
Camel Glue Gun 100 W GG-5 Machine each,390,BDT,https://chaldn.com/_mpimage/camel-glue-gun-100-w-gg-5-machine-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126583&q=best&v=1&m=400&webp=1,images/Camel_Glue_Gun_100_W_GG-5_Machine_each.jpg
169 Osaka PVC Tape Black (18 mm) 3 pcs,75,BDT,https://chaldn.com/_mpimage/osaka-pvc-tape-black-18-mm-3-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126076&q=best&v=1&m=400&webp=1,images/169_Osaka_PVC_Tape_Black_18_mm_3_pcs.jpg
99 Hunter Both Sided Gum Tape (0.5 inch) each,55,BDT,https://chaldn.com/_mpimage/hunter-both-sided-gum-tape-05-inch-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D105214&q=best&v=1&m=400&webp=1,images/99_Hunter_Both_Sided_Gum_Tape_05_inch_each.jpg
