name,price,currency,image_url,image_location
Mouse Pad each,119,BDT,https://chaldn.com/_mpimage/mouse-pad-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130912&q=best&v=1&m=400&webp=1,images/Mouse_Pad_each.jpg
130 Deli Colored Push Pins 100 pcs,99,BDT,https://chaldn.com/_mpimage/deli-colored-push-pins-100-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127544&q=best&v=1&m=400&webp=1,images/130_Deli_Colored_Push_Pins_100_pcs.jpg
RFL Good Luck Sponge Damper each,25,BDT,https://chaldn.com/_mpimage/rfl-good-luck-sponge-damper-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D97010&q=best&v=1&m=400&webp=1,images/RFL_Good_Luck_Sponge_Damper_each.jpg
RFL Good Luck Multiple Organizer each,220,BDT,https://chaldn.com/_mpimage/rfl-good-luck-multiple-organizer-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D96999&q=best&v=1&m=400&webp=1,images/RFL_Good_Luck_Multiple_Organizer_each.jpg
Rubber Bands 100 gm,119,BDT,https://chaldn.com/_mpimage/rubber-bands-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133058&q=best&v=1&m=400&webp=1,images/Rubber_Bands_100_gm.jpg
Deli Office Pin 1 box 50 gm,40,BDT,https://chaldn.com/_mpimage/deli-office-pin-1-box-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103824&q=best&v=1&m=400&m=400&webp=1,images/Deli_Office_Pin_1_box_50_gm.jpg
120 Deli Colored Paper Clips 100 pcs,69,BDT,https://chaldn.com/_mpimage/deli-colored-paper-clips-100-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127536&q=best&v=1&m=400&m=400&webp=1,images/120_Deli_Colored_Paper_Clips_100_pcs.jpg
A4 Tech Optical USB Mouse each,595,BDT,https://chaldn.com/_mpimage/a4-tech-optical-usb-mouse-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122736&q=best&v=1&m=400&webp=1,images/A4_Tech_Optical_USB_Mouse_each.jpg
"Binder Clip (1"") 12 pcs",90,BDT,https://chaldn.com/_mpimage/binder-clip-1-12-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125776&q=best&v=1&m=400&webp=1,images/Binder_Clip_1_12_pcs.jpg
Board Duster each,59,BDT,https://chaldn.com/_mpimage/board-duster-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D12482&q=low&v=1&m=400&webp=1,images/Board_Duster_each.jpg
ID Card Holder (T-014H) each,29,BDT,https://chaldn.com/_mpimage/id-card-holder-t-014h-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106904&q=best&v=1&m=400&webp=1,images/ID_Card_Holder_T-014H_each.jpg
Binding Needle each,49,BDT,https://chaldn.com/_mpimage/binding-needle-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D1208&q=best&v=1&m=400&webp=1,images/Binding_Needle_each.jpg
Deli Clip Box each,70,BDT,https://chaldn.com/_mpimage/deli-clip-box-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D1189&q=best&v=1&m=400&webp=1,images/Deli_Clip_Box_each.jpg
ID Card Holder (T-014V) each,29,BDT,https://chaldn.com/_mpimage/id-card-holder-t-014v-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106905&q=best&v=1&m=400&webp=1,images/ID_Card_Holder_T-014V_each.jpg
Pin Holder each,89,BDT,https://chaldn.com/_mpimage/pin-holder-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D1165&q=low&v=1&m=400&webp=1,images/Pin_Holder_each.jpg
Artline Stamp Pad 106×67 mm each,99,BDT,https://chaldn.com/_mpimage/artline-stamp-pad-10667-mm-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125284&q=best&v=1&m=400&webp=1,images/Artline_Stamp_Pad_10667_mm_each.jpg
"180 Binder Clip (2"") 12 pcs",159,BDT,https://chaldn.com/_mpimage/binder-clip-2-12-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D3550&q=best&v=1&m=400&webp=1,images/180_Binder_Clip_2_12_pcs.jpg
Deli Fingertip Moistener each,150,BDT,https://chaldn.com/_mpimage/deli-fingertip-moistener-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127563&q=best&v=1&m=400&webp=1,images/Deli_Fingertip_Moistener_each.jpg
