name,price,currency,image_url,image_location
Kangaro Stapler Pin No.10 Small 1000 staples,39,BDT,https://chaldn.com/_mpimage/kangaro-stapler-pin-no10-small-1000-staples?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129667&q=best&v=1&m=400&webp=1,images/Kangaro_Stapler_Pin_No10_Small_1000_staples.jpg
Deli Stapler Machine (Green) each,90,BDT,https://chaldn.com/_mpimage/deli-stapler-machine-green-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D137168&q=best&v=1&m=400&webp=1,images/Deli_Stapler_Machine_Green_each.jpg
Deli Stapler Machine (Blue) each,90,BDT,https://chaldn.com/_mpimage/deli-stapler-machine-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D137167&q=best&v=1&m=400&webp=1,images/Deli_Stapler_Machine_Blue_each.jpg
Kangaro Punch Machine (Light Yellow Green) each,179,BDT,https://chaldn.com/_mpimage/kangaro-punch-machine-light-yellow-green-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125741&q=best&v=1&m=400&webp=1,images/Kangaro_Punch_Machine_Light_Yellow_Green_each.jpg
Kangaro Pin Remover (Red) each,109,BDT,https://chaldn.com/_mpimage/kangaro-pin-remover-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D139047&q=best&v=1&m=400&webp=1,images/Kangaro_Pin_Remover_Red_each.jpg
Kangaro Pin Remover (Black) each,149,BDT,https://chaldn.com/_mpimage/kangaro-pin-remover-black-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D139046&q=best&v=1&m=400&webp=1,images/Kangaro_Pin_Remover_Black_each.jpg
Deli Stapler Machine (White) each,80,BDT,https://chaldn.com/_mpimage/deli-stapler-machine-white-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D104840&q=best&v=1&m=400&webp=1,images/Deli_Stapler_Machine_White_each.jpg
Deli Pin Remover each,79,BDT,https://chaldn.com/_mpimage/deli-pin-remover-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103829&q=best&v=1&m=400&webp=1,images/Deli_Pin_Remover_each.jpg
Deli Stapler Machine each,215,BDT,https://chaldn.com/_mpimage/deli-stapler-machine-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D104836&q=best&v=1&m=400&webp=1,images/Deli_Stapler_Machine_each.jpg
230 Kangaro Stapler Machine Medium each,189,BDT,https://chaldn.com/_mpimage/kangaro-stapler-machine-medium-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D138974&q=best&v=1&m=400&webp=1,images/230_Kangaro_Stapler_Machine_Medium_each.jpg
Kangaro Punch Machine each,169,BDT,https://chaldn.com/_mpimage/kangaro-punch-machine-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127053&q=best&v=1&m=400&webp=1,images/Kangaro_Punch_Machine_each.jpg
Kangaro Pin Remover each,99,BDT,https://chaldn.com/_mpimage/kangaro-pin-remover-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108165&q=best&v=1&m=400&webp=1,images/Kangaro_Pin_Remover_each.jpg
