name,price,currency,image_url,image_location
Womens Soaps,,BDT,https://chaldn.com/_mpimage/womens-soaps?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163528&q=best&v=1&m=400&webp=1,images/Womens_Soaps.jpg
Hair Care,,BDT,https://chaldn.com/_mpimage/hair-care?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D70663&q=best&v=1&m=400&webp=1,images/Hair_Care.jpg
Womens Shampoos Conditioners,,BDT,https://chaldn.com/_mpimage/womens-shampoos-conditioners?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D70664&q=low&v=1&m=400&webp=1,images/Womens_Shampoos_Conditioners.jpg
Feminine Care,,BDT,https://chaldn.com/_mpimage/feminine-care?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163515&q=best&v=1&m=400&webp=1,images/Feminine_Care.jpg
Female Moisturizer,,BDT,https://chaldn.com/_mpimage/female-moisturizer?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D70655&q=low&v=1&m=400&webp=1,images/Female_Moisturizer.jpg
Face Wash Scrub,,BDT,https://chaldn.com/_mpimage/face-wash-scrub?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D117250&q=low&v=1&m=400&webp=1,images/Face_Wash_Scrub.jpg
Female Deo,,BDT,https://chaldn.com/_mpimage/female-deo?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D70660&q=low&v=1&m=400&webp=1,images/Female_Deo.jpg
Womens Perfume,,BDT,https://chaldn.com/_mpimage/womens-perfume?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D116778&q=low&v=1&m=400&webp=1,images/Womens_Perfume.jpg
Womens Shower Gel,,BDT,https://chaldn.com/_mpimage/womens-shower-gel?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163512&q=best&v=1&m=400&webp=1,images/Womens_Shower_Gel.jpg
Masks Cleansers,,BDT,https://chaldn.com/_mpimage/masks-cleansers?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D116771&q=low&v=1&m=400&webp=1,images/Masks_Cleansers.jpg
Serum Oil Toners,,BDT,https://chaldn.com/_mpimage/serum-oil-toners?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D117310&q=low&v=1&m=400&webp=1,images/Serum_Oil_Toners.jpg
