name,price,currency,image_url,image_location
Ching's Green Chilli Sauce 680 gm,350,BDT,https://chaldn.com/_mpimage/chings-green-chilli-sauce-680-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177093&q=best&v=1&m=400&webp=1,images/Chings_Green_Chilli_Sauce_680_gm.jpg
Ching's Green Chilli Sauce 190 gm,150,BDT,https://chaldn.com/_mpimage/chings-green-chilli-sauce-190-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177092&q=best&v=1&m=400&webp=1,images/Chings_Green_Chilli_Sauce_190_gm.jpg
Ching's Chilli Sauce 680 gm,350,BDT,https://chaldn.com/_mpimage/chings-chilli-sauce-680-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177091&q=best&v=1&m=400&webp=1,images/Chings_Chilli_Sauce_680_gm.jpg
Saad Sweet Chilli Sauce 340 gm,150,BDT,https://chaldn.com/_mpimage/saad-sweet-chilli-sauce-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126528&q=best&v=1&m=400&webp=1,images/Saad_Sweet_Chilli_Sauce_340_gm.jpg
800 Maekrua Oyster Sauce 600 ml,639,BDT,https://chaldn.com/_mpimage/maekrua-oyster-sauce-600-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D47535&q=best&v=1&m=400&webp=1,images/800_Maekrua_Oyster_Sauce_600_ml.jpg
Kikkoman Premium Soy Sauce 600 ml,679,BDT,https://chaldn.com/_mpimage/kikkoman-premium-soy-sauce-600-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D109792&q=best&v=1&m=400&webp=1,images/Kikkoman_Premium_Soy_Sauce_600_ml.jpg
Sajeeb Soya Sauce 300 ml,100,BDT,https://chaldn.com/_mpimage/sajeeb-soya-sauce-300-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133113&q=best&v=1&m=400&webp=1,images/Sajeeb_Soya_Sauce_300_ml.jpg
Best's Tomato Puree 400 gm,174,BDT,https://chaldn.com/_mpimage/bests-tomato-puree-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D154143&q=best&v=1&m=400&m=400&webp=1,images/Bests_Tomato_Puree_400_gm.jpg
Kikkoman Soy Sauce 1 ltr,1499,BDT,https://chaldn.com/_mpimage/kikkoman-soy-sauce-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D180155&q=best&v=1&m=400&webp=1,images/Kikkoman_Soy_Sauce_1_ltr.jpg
Ruchi Sweet Chili Sauce 200 gm,90,BDT,https://chaldn.com/_mpimage/ruchi-sweet-chili-sauce-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176909&q=best&v=1&m=400&webp=1,images/Ruchi_Sweet_Chili_Sauce_200_gm.jpg
