name,price,currency,image_url,image_location
Ching's Red Chilli Sauce 200 gm,160,BDT,https://chaldn.com/_mpimage/chings-red-chilli-sauce-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177101&q=best&v=1&m=400&webp=1,images/Chings_Red_Chilli_Sauce_200_gm.jpg
Ching's Green Chilli Sauce 680 gm,350,BDT,https://chaldn.com/_mpimage/chings-green-chilli-sauce-680-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177093&q=best&v=1&m=400&webp=1,images/Chings_Green_Chilli_Sauce_680_gm.jpg
Ching's Green Chilli Sauce 190 gm,150,BDT,https://chaldn.com/_mpimage/chings-green-chilli-sauce-190-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177092&q=best&v=1&m=400&webp=1,images/Chings_Green_Chilli_Sauce_190_gm.jpg
Ching's Chilli Sauce 680 gm,350,BDT,https://chaldn.com/_mpimage/chings-chilli-sauce-680-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177091&q=best&v=1&m=400&webp=1,images/Chings_Chilli_Sauce_680_gm.jpg
Saad Sweet Chilli Sauce 340 gm,150,BDT,https://chaldn.com/_mpimage/saad-sweet-chilli-sauce-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126528&q=best&v=1&m=400&webp=1,images/Saad_Sweet_Chilli_Sauce_340_gm.jpg
Ruchi Sweet Chilli Sauce 350 gm,130,BDT,https://chaldn.com/_mpimage/ruchi-sweet-chilli-sauce-350-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133079&q=best&v=1&m=400&webp=1,images/Ruchi_Sweet_Chilli_Sauce_350_gm.jpg
150 Ahmed Hot Chilli Sauce 340 gm,129,BDT,https://chaldn.com/_mpimage/ahmed-hot-chilli-sauce-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122992&q=best&v=1&m=400&webp=1,images/150_Ahmed_Hot_Chilli_Sauce_340_gm.jpg
130 Ahmed Green Chilli Sauce 340 gm,115,BDT,https://chaldn.com/_mpimage/ahmed-green-chilli-sauce-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122990&q=best&v=1&m=400&webp=1,images/130_Ahmed_Green_Chilli_Sauce_340_gm.jpg
Pran Chilli Sauce 340 gm,150,BDT,https://chaldn.com/_mpimage/pran-chilli-sauce-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169408&q=best&v=1&m=400&webp=1,images/Pran_Chilli_Sauce_340_gm.jpg
Nando's Peri Peri Hot Sauce 250 gm,549,BDT,https://chaldn.com/_mpimage/nandos-peri-peri-hot-sauce-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131212&q=best&v=1&m=400&m=400&webp=1,images/Nandos_Peri_Peri_Hot_Sauce_250_gm.jpg
Teo Tak Seng Silver Pomfret Fish Sauce 750 cc,495,BDT,https://chaldn.com/_mpimage/teo-tak-seng-silver-pomfret-fish-sauce-750-cc?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136112&q=best&v=1&m=400&webp=1,images/Teo_Tak_Seng_Silver_Pomfret_Fish_Sauce_750_cc.jpg
Ahmed Sweet Chilli Sauce 340 gm,140,BDT,https://chaldn.com/_mpimage/ahmed-sweet-chilli-sauce-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123016&q=best&v=1&m=400&m=400&webp=1,images/Ahmed_Sweet_Chilli_Sauce_340_gm.jpg
Ruchi Sweet Chili Sauce 200 gm,90,BDT,https://chaldn.com/_mpimage/ruchi-sweet-chili-sauce-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176909&q=best&v=1&m=400&webp=1,images/Ruchi_Sweet_Chili_Sauce_200_gm.jpg
Ruchi BBQ Sauce 200 gm,150,BDT,https://chaldn.com/_mpimage/ruchi-bbq-sauce-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176905&q=best&v=1&m=400&webp=1,images/Ruchi_BBQ_Sauce_200_gm.jpg
Pran Green Chilli Sauce 340 gm,130,BDT,https://chaldn.com/_mpimage/pran-green-chilli-sauce-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D162464&q=best&v=1&m=400&webp=1,images/Pran_Green_Chilli_Sauce_340_gm.jpg
Kishwan Hot Chilli Sauce 340 gm,120,BDT,https://chaldn.com/_mpimage/kishwan-hot-chilli-sauce-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D93436&q=best&v=1&m=400&webp=1,images/Kishwan_Hot_Chilli_Sauce_340_gm.jpg
Mr. Hung Sweet Chilli Sauce 700 ml,500,BDT,https://chaldn.com/_mpimage/mr-hung-sweet-chilli-sauce-700-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130934&q=best&v=1&m=400&m=400&webp=1,images/Mr_Hung_Sweet_Chilli_Sauce_700_ml.jpg
Sriracha Hot Chilli Sauce 482 gm,1200,BDT,https://chaldn.com/_mpimage/sriracha-hot-chilli-sauce-482-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D134985&q=best&v=1&m=400&m=400&webp=1,images/Sriracha_Hot_Chilli_Sauce_482_gm.jpg
ACME Sweet Chilli Sauce 340 gm,120,BDT,https://chaldn.com/_mpimage/acme-sweet-chilli-sauce-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103137&q=best&v=1&m=400&m=400&webp=1,images/ACME_Sweet_Chilli_Sauce_340_gm.jpg
