name,price,currency,image_url,image_location
Chachi's Chawk Sweet Sour Chutney 200 ml,165,BDT,https://chaldn.com/_mpimage/chachis-chawk-sweet-sour-chutney-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168518&q=best&v=1&m=400&webp=1,images/Chachis_Chawk_Sweet_Sour_Chutney_200_ml.jpg
Ruchi Boroi Pickle 450 gm,220,BDT,https://chaldn.com/_mpimage/ruchi-boroi-pickle-450-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D158018&q=best&v=1&m=400&webp=1,images/Ruchi_Boroi_Pickle_450_gm.jpg
Parboti Local Garlic Pickle 180 gm,150,BDT,https://chaldn.com/_mpimage/parboti-local-garlic-pickle-180-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D115540&q=best&v=1&m=400&webp=1,images/Parboti_Local_Garlic_Pickle_180_gm.jpg
Aafi Olive Pickle 400 gm,170,BDT,https://chaldn.com/_mpimage/aafi-olive-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122738&q=best&v=1&m=400&m=400&webp=1,images/Aafi_Olive_Pickle_400_gm.jpg
Aafi Mango Pickle 400 gm,170,BDT,https://chaldn.com/_mpimage/aafi-mango-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D138697&q=best&v=1&m=400&m=400&webp=1,images/Aafi_Mango_Pickle_400_gm.jpg
ACME Olive Pickle 400 gm,150,BDT,https://chaldn.com/_mpimage/acme-olive-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122877&q=best&v=1&m=400&m=400&webp=1,images/ACME_Olive_Pickle_400_gm.jpg
Kishwan Mango Pickle 400 gm,180,BDT,https://chaldn.com/_mpimage/kishwan-mango-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D109945&q=best&v=1&m=400&m=400&webp=1,images/Kishwan_Mango_Pickle_400_gm.jpg
Ruchi Chalta Pickle 400 gm,200,BDT,https://chaldn.com/_mpimage/ruchi-chalta-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133065&q=best&v=1&m=400&webp=1,images/Ruchi_Chalta_Pickle_400_gm.jpg
Nicobena Tamarind Pickle 325 gm,185,BDT,https://chaldn.com/_mpimage/nicobena-tamarind-pickle-325-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D115295&q=best&v=1&m=400&webp=1,images/Nicobena_Tamarind_Pickle_325_gm.jpg
Nicobena Naga Bombay Chilli Pickle 120 gm,350,BDT,https://chaldn.com/_mpimage/nicobena-naga-bombay-chilli-pickle-120-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131401&q=best&v=1&m=400&m=400&webp=1,images/Nicobena_Naga_Bombay_Chilli_Pickle_120_gm.jpg
Pran Jugol Chutney 300 gm,190,BDT,https://chaldn.com/_mpimage/pran-jugol-chutney-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108326&q=best&v=1&m=400&webp=1,images/Pran_Jugol_Chutney_300_gm.jpg
Natcha Sweet Tamarind (Tetul) 225 gm,399,BDT,https://chaldn.com/_mpimage/natcha-sweet-tamarind-tetul-225-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95377&q=best&v=1&m=400&webp=1,images/Natcha_Sweet_Tamarind_Tetul_225_gm.jpg
Nicobena Garlic Pickle 220 gm,275,BDT,https://chaldn.com/_mpimage/nicobena-garlic-pickle-220-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131398&q=best&v=1&m=400&webp=1,images/Nicobena_Garlic_Pickle_220_gm.jpg
Ahmed Mixed Pickle 400 gm,180,BDT,https://chaldn.com/_mpimage/ahmed-mixed-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123002&q=best&v=1&m=400&webp=1,images/Ahmed_Mixed_Pickle_400_gm.jpg
BD Food Olive Pickle 400 gm,200,BDT,https://chaldn.com/_mpimage/bd-food-olive-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125558&q=best&v=1&m=400&webp=1,images/BD_Food_Olive_Pickle_400_gm.jpg
Balachaw (Dry Prawn Chutney) 250 gm,330,BDT,https://chaldn.com/_mpimage/balachaw-dry-prawn-chutney-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125348&q=best&v=1&m=400&m=400&webp=1,images/Balachaw_Dry_Prawn_Chutney_250_gm.jpg
American Garden Jalapeno Pepper Sliced 454 gm,475,BDT,https://chaldn.com/_mpimage/american-garden-jalapeno-pepper-sliced-454-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123304&q=best&v=1&m=400&webp=1,images/American_Garden_Jalapeno_Pepper_Sliced_454_gm.jpg
BD Food Tatul Chutney 500 gm,170,BDT,https://chaldn.com/_mpimage/bd-food-tatul-chutney-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125571&q=best&v=1&m=400&m=400&webp=1,images/BD_Food_Tatul_Chutney_500_gm.jpg
Pran Mixed Pickle 400 gm,200,BDT,https://chaldn.com/_mpimage/pran-mixed-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135142&q=best&v=1&m=400&webp=1,images/Pran_Mixed_Pickle_400_gm.jpg
BD Food Garlic Pickle 400 gm,300,BDT,https://chaldn.com/_mpimage/bd-food-garlic-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125551&q=best&v=1&m=400&m=400&webp=1,images/BD_Food_Garlic_Pickle_400_gm.jpg
Ruchi Chutney Tetul 15 gm 12 pcs,60,BDT,https://chaldn.com/_mpimage/ruchi-chutney-tetul-15-gm-12-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D172150&q=best&v=1&m=400&webp=1,images/Ruchi_Chutney_Tetul_15_gm_12_pcs.jpg
Ruchi Mixed Pickle 400 gm,200,BDT,https://chaldn.com/_mpimage/ruchi-mixed-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48272&q=best&v=1&m=400&webp=1,images/Ruchi_Mixed_Pickle_400_gm.jpg
Ruchi Olive Pickle 400 gm,210,BDT,https://chaldn.com/_mpimage/ruchi-olive-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D152918&q=best&v=1&m=400&webp=1,images/Ruchi_Olive_Pickle_400_gm.jpg
Ruchi Mixed Chutney 450 gm,160,BDT,https://chaldn.com/_mpimage/ruchi-mixed-chutney-450-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133076&q=best&v=1&m=400&webp=1,images/Ruchi_Mixed_Chutney_450_gm.jpg
Ruchi Mango Pickle 400 gm,200,BDT,https://chaldn.com/_mpimage/ruchi-mango-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133075&q=best&v=1&m=400&webp=1,images/Ruchi_Mango_Pickle_400_gm.jpg
Ruchi Mango Pickle 200 gm,120,BDT,https://chaldn.com/_mpimage/ruchi-mango-pickle-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133074&q=best&v=1&m=400&webp=1,images/Ruchi_Mango_Pickle_200_gm.jpg
Ruchi Garlic Pickle 200 gm,165,BDT,https://chaldn.com/_mpimage/ruchi-garlic-pickle-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133069&q=best&v=1&m=400&webp=1,images/Ruchi_Garlic_Pickle_200_gm.jpg
Pran Olive Pickle 400 gm,200,BDT,https://chaldn.com/_mpimage/pran-olive-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132320&q=best&v=1&m=400&webp=1,images/Pran_Olive_Pickle_400_gm.jpg
Pran Garlic Pickle 300 gm,240,BDT,https://chaldn.com/_mpimage/pran-garlic-pickle-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135140&q=best&v=1&m=400&m=400&webp=1,images/Pran_Garlic_Pickle_300_gm.jpg
Pran Naga Chilli Pickle 300 gm,320,BDT,https://chaldn.com/_mpimage/pran-naga-chilli-pickle-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136082&q=best&v=1&m=400&webp=1,images/Pran_Naga_Chilli_Pickle_300_gm.jpg
BD Food Mango Pickle 400 gm,200,BDT,https://chaldn.com/_mpimage/bd-food-mango-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125669&q=best&v=1&m=400&webp=1,images/BD_Food_Mango_Pickle_400_gm.jpg
Pran Mango Pickle 400 gm,200,BDT,https://chaldn.com/_mpimage/pran-mango-pickle-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132317&q=best&v=1&m=400&webp=1,images/Pran_Mango_Pickle_400_gm.jpg
Pran Boroi Sweet Pickle 350 gm,180,BDT,https://chaldn.com/_mpimage/pran-boroi-sweet-pickle-350-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169249&q=best&v=1&m=400&webp=1,images/Pran_Boroi_Sweet_Pickle_350_gm.jpg
