name,price,currency,image_url,image_location
Pran Tomato Sauce 340 gm,125,BDT,https://chaldn.com/_mpimage/pran-tomato-sauce-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135234&q=best&v=1&m=400&webp=1,images/Pran_Tomato_Sauce_340_gm.jpg
Pran Tomato Sauce 1 kg,320,BDT,https://chaldn.com/_mpimage/pran-tomato-sauce-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D141997&q=best&v=1&m=400&webp=1,images/Pran_Tomato_Sauce_1_kg.jpg
Saad Hot Tomato Sauce 340 gm,120,BDT,https://chaldn.com/_mpimage/saad-hot-tomato-sauce-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D165922&q=best&v=1&m=400&webp=1,images/Saad_Hot_Tomato_Sauce_340_gm.jpg
125 Ahmed Tomato Sauce 340 gm,115,BDT,https://chaldn.com/_mpimage/ahmed-tomato-sauce-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185473&q=best&v=1&m=400&webp=1,images/125_Ahmed_Tomato_Sauce_340_gm.jpg
125 Ahmed Tomato Ketchup 340 gm,115,BDT,https://chaldn.com/_mpimage/ahmed-tomato-ketchup-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123196&q=best&v=1&m=400&webp=1,images/125_Ahmed_Tomato_Ketchup_340_gm.jpg
Best's Tomato Ketchup 330 ml,182,BDT,https://chaldn.com/_mpimage/bests-tomato-ketchup-330-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125748&q=best&v=1&m=400&webp=1,images/Bests_Tomato_Ketchup_330_ml.jpg
Ruchi Hot Tomato Sauce 350 gm,125,BDT,https://chaldn.com/_mpimage/ruchi-hot-tomato-sauce-350-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133071&q=best&v=1&m=400&webp=1,images/Ruchi_Hot_Tomato_Sauce_350_gm.jpg
Pran Hot Tomato Sauce Mini 8 gm 10 pcs,30,BDT,https://chaldn.com/_mpimage/pran-hot-tomato-sauce-mini-8-gm-10-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D154707&q=best&v=1&m=400&webp=1,images/Pran_Hot_Tomato_Sauce_Mini_8_gm_10_pcs.jpg
Best's Tomato Puree 400 gm,174,BDT,https://chaldn.com/_mpimage/bests-tomato-puree-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D154143&q=best&v=1&m=400&m=400&webp=1,images/Bests_Tomato_Puree_400_gm.jpg
Ruchi Hot Tomato Sauce 200 gm,80,BDT,https://chaldn.com/_mpimage/ruchi-hot-tomato-sauce-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176908&q=best&v=1&m=400&webp=1,images/Ruchi_Hot_Tomato_Sauce_200_gm.jpg
Chef Le Tomato Paste 400 gm,136,BDT,https://chaldn.com/_mpimage/chef-le-tomato-paste-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D159290&q=best&v=1&m=400&webp=1,images/Chef_Le_Tomato_Paste_400_gm.jpg
Sajeeb Hot Tomato Sauce 340 gm,115,BDT,https://chaldn.com/_mpimage/sajeeb-hot-tomato-sauce-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133110&q=best&v=1&m=400&m=400&webp=1,images/Sajeeb_Hot_Tomato_Sauce_340_gm.jpg
Ruchi Tomato Ketchup 350 gm,125,BDT,https://chaldn.com/_mpimage/ruchi-tomato-ketchup-350-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133080&q=best&v=1&m=400&webp=1,images/Ruchi_Tomato_Ketchup_350_gm.jpg
Shezan Tomato Ketchup 340 gm,115,BDT,https://chaldn.com/_mpimage/shezan-tomato-ketchup-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D140416&q=best&v=1&m=400&webp=1,images/Shezan_Tomato_Ketchup_340_gm.jpg
Pran Tomato Ketchup 340 gm,125,BDT,https://chaldn.com/_mpimage/pran-tomato-ketchup-340-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136083&q=best&v=1&m=400&webp=1,images/Pran_Tomato_Ketchup_340_gm.jpg
