name,price,currency,image_url,image_location
La Espanola Extra Virgin Olive Oil 500 ml,1350,BDT,https://chaldn.com/_mpimage/la-espanola-extra-virgin-olive-oil-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129928&q=best&v=1&m=400&webp=1,images/La_Espanola_Extra_Virgin_Olive_Oil_500_ml.jpg
Ujjwala Care Anti Hairfall Herbal Hair Oil 100 ml,200,BDT,https://chaldn.com/_mpimage/ujjwala-care-anti-hairfall-herbal-hair-oil-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177342&q=best&v=1&m=400&webp=1,images/Ujjwala_Care_Anti_Hairfall_Herbal_Hair_Oil_100_ml.jpg
Ujjwala Care Skin Lightening Body Oil 200 ml,380,BDT,https://chaldn.com/_mpimage/ujjwala-care-skin-lightening-body-oil-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177338&q=best&v=1&m=400&webp=1,images/Ujjwala_Care_Skin_Lightening_Body_Oil_200_ml.jpg
Ujjwala Care Skin Lightening Body Oil 100 ml,200,BDT,https://chaldn.com/_mpimage/ujjwala-care-skin-lightening-body-oil-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177337&q=best&v=1&m=400&webp=1,images/Ujjwala_Care_Skin_Lightening_Body_Oil_100_ml.jpg
Maya All Natural Moroccan Argan Oil 30 ml,850,BDT,https://chaldn.com/_mpimage/maya-all-natural-moroccan-argan-oil-30-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185699&q=best&v=1&m=400&webp=1,images/Maya_All_Natural_Moroccan_Argan_Oil_30_ml.jpg
Maya All Natural Spanish Rosehip Seed Oil 30 ml,850,BDT,https://chaldn.com/_mpimage/maya-all-natural-spanish-rosehip-seed-oil-30-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185711&q=best&v=1&m=400&webp=1,images/Maya_All_Natural_Spanish_Rosehip_Seed_Oil_30_ml.jpg
Maya True Herbs Marula Oil 30 ml,850,BDT,https://chaldn.com/_mpimage/maya-true-herbs-marula-oil-30-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185732&q=best&v=1&m=400&webp=1,images/Maya_True_Herbs_Marula_Oil_30_ml.jpg
Kd Natures Aid Rose Oil 50 ml,280,BDT,https://chaldn.com/_mpimage/kd-natures-aid-rose-oil-50-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D124607&q=best&v=1&m=400&webp=1,images/Kd_Natures_Aid_Rose_Oil_50_ml.jpg
Olio Orolio Massage Oil 250 ml,480,BDT,https://chaldn.com/_mpimage/olio-orolio-massage-oil-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122138&q=best&v=1&m=400&m=400&webp=1,images/Olio_Orolio_Massage_Oil_250_ml.jpg
Ambassador Spanish Olive Oil 250 ml,780,BDT,https://chaldn.com/_mpimage/ambassador-spanish-olive-oil-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D91800&q=best&v=1&m=400&webp=1,images/Ambassador_Spanish_Olive_Oil_250_ml.jpg
