name,price,currency,image_url,image_location
Pond's Bright Beauty Anti-Spot-Formula Serum Cream 35 gm,180,BDT,https://chaldn.com/_mpimage/ponds-bright-beauty-anti-spot-formula-serum-cream-35-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178420&q=best&v=1&m=400&webp=1,images/Ponds_Bright_Beauty_Anti-Spot-Formula_Serum_Cream_35_gm.jpg
Pond's Bright Beauty Anti-Spot-Formula Serum Cream 23 gm,130,BDT,https://chaldn.com/_mpimage/ponds-bright-beauty-anti-spot-formula-serum-cream-23-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176370&q=best&v=1&m=400&webp=1,images/Ponds_Bright_Beauty_Anti-Spot-Formula_Serum_Cream_23_gm.jpg
Ligion Active Gold Mehedi 25 gm,50,BDT,https://chaldn.com/_mpimage/ligion-active-gold-mehedi-25-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130140&q=best&v=1&m=400&webp=1,images/Ligion_Active_Gold_Mehedi_25_gm.jpg
Creme 21 Vitamin E Moisturizing Soft Cream 150 ml,605,BDT,https://chaldn.com/_mpimage/creme-21-vitamin-e-moisturizing-soft-cream-150-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101098&q=best&v=1&m=400&webp=1,images/Creme_21_Vitamin_E_Moisturizing_Soft_Cream_150_ml.jpg
Dove Silky Cream 300 ml,1450,BDT,https://chaldn.com/_mpimage/dove-silky-cream-300-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107988&q=best&v=1&m=400&webp=1,images/Dove_Silky_Cream_300_ml.jpg
Dove Intensive Cream 75 ml,495,BDT,https://chaldn.com/_mpimage/dove-intensive-cream-75-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107913&q=best&v=1&m=400&m=400&webp=1,images/Dove_Intensive_Cream_75_ml.jpg
Pond's White Beauty Day Cream 35 gm,240,BDT,https://chaldn.com/_mpimage/ponds-white-beauty-day-cream-35-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101382&q=best&v=1&m=400&webp=1,images/Ponds_White_Beauty_Day_Cream_35_gm.jpg
Glow & Lovely Advanced Multivitamin Cream 100 gm,300,BDT,https://chaldn.com/_mpimage/glow-lovely-advanced-multivitamin-cream-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128315&q=best&v=1&m=400&webp=1,images/Glow__Lovely_Advanced_Multivitamin_Cream_100_gm.jpg
Beauty Formulas Intensive Foot Cream 100 ml,509,BDT,https://chaldn.com/_mpimage/beauty-formulas-intensive-foot-cream-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129754&q=best&v=1&m=400&webp=1,images/Beauty_Formulas_Intensive_Foot_Cream_100_ml.jpg
Sudocrem Antiseptic Healing Cream 125 gm,980,BDT,https://chaldn.com/_mpimage/sudocrem-antiseptic-healing-cream-125-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135376&q=best&v=1&m=400&webp=1,images/Sudocrem_Antiseptic_Healing_Cream_125_gm.jpg
