name,price,currency,image_url,image_location
Neutrogena Deep Clean Gel Wash 200 ml,1000,BDT,https://chaldn.com/_mpimage/neutrogena-deep-clean-gel-wash-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D115180&q=best&v=1&m=400&webp=1,images/Neutrogena_Deep_Clean_Gel_Wash_200_ml.jpg
Himalaya Purifying Neem Face Wash 150 ml,275,BDT,https://chaldn.com/_mpimage/himalaya-purifying-neem-face-wash-150-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D170331&q=best&v=1&m=400&webp=1,images/Himalaya_Purifying_Neem_Face_Wash_150_ml.jpg
Parachute SkinPure Aloe Vera Gel 100 ml,205,BDT,https://chaldn.com/_mpimage/parachute-skinpure-aloe-vera-gel-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131962&q=best&v=1&m=400&m=400&webp=1,images/Parachute_SkinPure_Aloe_Vera_Gel_100_ml.jpg
Parachute SkinPure Aloe Vera Gel 200 ml,355,BDT,https://chaldn.com/_mpimage/parachute-skinpure-aloe-vera-gel-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131961&q=best&v=1&m=400&m=400&webp=1,images/Parachute_SkinPure_Aloe_Vera_Gel_200_ml.jpg
Parachute SkinPure Aloe Vera Gel 50 ml,120,BDT,https://chaldn.com/_mpimage/parachute-skinpure-aloe-vera-gel-50-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131963&q=best&v=1&m=400&webp=1,images/Parachute_SkinPure_Aloe_Vera_Gel_50_ml.jpg
Garnier Skin Naturals Light Complete Serum Mask each,135,BDT,https://chaldn.com/_mpimage/garnier-skin-naturals-light-complete-serum-mask-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D60891&q=best&v=1&m=400&m=400&webp=1,images/Garnier_Skin_Naturals_Light_Complete_Serum_Mask_each.jpg
Biore Mild Smooth Face Wash 100 gm,700,BDT,https://chaldn.com/_mpimage/biore-mild-smooth-face-wash-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125825&q=best&v=1&m=400&webp=1,images/Biore_Mild_Smooth_Face_Wash_100_gm.jpg
Himalaya Fresh Start Oil Clear Face Wash Lemon 100 ml,199,BDT,https://chaldn.com/_mpimage/himalaya-fresh-start-oil-clear-face-wash-lemon-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D153616&q=best&v=1&m=400&webp=1,images/Himalaya_Fresh_Start_Oil_Clear_Face_Wash_Lemon_100_ml.jpg
YC Peel Off Black Mask With Bamboo Charcoal 100 ml,650,BDT,https://chaldn.com/_mpimage/yc-peel-off-black-mask-with-bamboo-charcoal-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D138393&q=best&v=1&m=400&webp=1,images/YC_Peel_Off_Black_Mask_With_Bamboo_Charcoal_100_ml.jpg
Himalaya Purifying Neem Face Wash 100 ml,230,BDT,https://chaldn.com/_mpimage/himalaya-purifying-neem-face-wash-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D149841&q=best&v=1&m=400&webp=1,images/Himalaya_Purifying_Neem_Face_Wash_100_ml.jpg
Pond's Face Wash Bright Beauty 100 gm,210,BDT,https://chaldn.com/_mpimage/ponds-face-wash-bright-beauty-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174855&q=best&v=1&m=400&webp=1,images/Ponds_Face_Wash_Bright_Beauty_100_gm.jpg
Pond's Face Wash Daily 100 gm,150,BDT,https://chaldn.com/_mpimage/ponds-face-wash-daily-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101438&q=best&v=1&m=400&webp=1,images/Ponds_Face_Wash_Daily_100_gm.jpg
