name,price,currency,image_url,image_location
Vaseline Lip Therapy Original 4.8 gm,225,BDT,https://chaldn.com/_mpimage/vaseline-lip-therapy-original-48-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186099&q=best&v=1&m=400&webp=1,images/Vaseline_Lip_Therapy_Original_48_gm.jpg
Vaseline Lip Therapy Rosy Lips 20 gm,350,BDT,https://chaldn.com/_mpimage/vaseline-lip-therapy-rosy-lips-20-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186047&q=best&v=1&m=400&webp=1,images/Vaseline_Lip_Therapy_Rosy_Lips_20_gm.jpg
Meril Lip Balm Lemon 4.8 gm,50,BDT,https://chaldn.com/_mpimage/meril-lip-balm-lemon-48-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185670&q=best&v=1&m=400&webp=1,images/Meril_Lip_Balm_Lemon_48_gm.jpg
450 Vaseline Lip Therapy Original 20 gm,259,BDT,https://chaldn.com/_mpimage/vaseline-lip-therapy-original-20-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136934&q=best&v=1&m=400&webp=1,images/450_Vaseline_Lip_Therapy_Original_20_gm.jpg
Vaseline Lip Therapy Aloe Vera 20 gm,309,BDT,https://chaldn.com/_mpimage/vaseline-lip-therapy-aloe-vera-20-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136927&q=best&v=1&m=400&m=400&webp=1,images/Vaseline_Lip_Therapy_Aloe_Vera_20_gm.jpg
Lilac Lip Balm Rose 30 gm,200,BDT,https://chaldn.com/_mpimage/lilac-lip-balm-rose-30-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D141995&q=best&v=1&m=400&webp=1,images/Lilac_Lip_Balm_Rose_30_gm.jpg
Lipsilk Lip Balm Strawberry 7 gm,210,BDT,https://chaldn.com/_mpimage/lipsilk-lip-balm-strawberry-7-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D116269&q=best&v=1&m=400&webp=1,images/Lipsilk_Lip_Balm_Strawberry_7_gm.jpg
Nivea Soft Rose Lip Care 4.8 gm,500,BDT,https://chaldn.com/_mpimage/nivea-soft-rose-lip-care-48-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D105032&q=best&v=1&m=400&webp=1,images/Nivea_Soft_Rose_Lip_Care_48_gm.jpg
Meril Lip Balm Strawberry 4.8 gm,50,BDT,https://chaldn.com/_mpimage/meril-lip-balm-strawberry-48-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185671&q=best&v=1&m=400&webp=1,images/Meril_Lip_Balm_Strawberry_48_gm.jpg
Glow & Lovely Face Cream Blemish Balm 40 gm,240,BDT,https://chaldn.com/_mpimage/glow-lovely-face-cream-blemish-balm-40-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174440&q=best&v=1&m=400&webp=1,images/Glow__Lovely_Face_Cream_Blemish_Balm_40_gm.jpg
Vaseline Lip Therapy Rose & Almond Oil 20 gm,350,BDT,https://chaldn.com/_mpimage/vaseline-lip-therapy-rose-almond-oil-20-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136935&q=best&v=1&m=400&webp=1,images/Vaseline_Lip_Therapy_Rose__Almond_Oil_20_gm.jpg
Keya Lipgel Tube 6 gm,18,BDT,https://chaldn.com/_mpimage/keya-lipgel-tube-6-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108627&q=best&v=1&m=400&webp=1,images/Keya_Lipgel_Tube_6_gm.jpg
Meril Lipgel each,50,BDT,https://chaldn.com/_mpimage/meril-lipgel-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185672&q=best&v=1&m=400&webp=1,images/Meril_Lipgel_each.jpg
