name,price,currency,image_url,image_location
25 Parachute SkinPure Petroleum Jelly 15 ml,23,BDT,https://chaldn.com/_mpimage/parachute-skinpure-petroleum-jelly-15-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131974&q=best&v=1&m=400&webp=1,images/25_Parachute_SkinPure_Petroleum_Jelly_15_ml.jpg
Comely Non Sticky Glycerin (Aloe vera) 100 gm,150,BDT,https://chaldn.com/_mpimage/comely-non-sticky-glycerin-aloe-vera-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186412&q=best&v=1&m=400&webp=1,images/Comely_Non_Sticky_Glycerin_Aloe_vera_100_gm.jpg
Skin Secret Glycerin 125 ml,140,BDT,https://chaldn.com/_mpimage/skin-secret-glycerin-125-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168835&q=best&v=1&m=400&webp=1,images/Skin_Secret_Glycerin_125_ml.jpg
Vaseline Blueseal Cocoa Butter Jelly 250 ml,950,BDT,https://chaldn.com/_mpimage/vaseline-blueseal-cocoa-butter-jelly-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136675&q=best&v=1&m=400&webp=1,images/Vaseline_Blueseal_Cocoa_Butter_Jelly_250_ml.jpg
Vaseline Blueseal Vitamin E Jelly 50 ml,299,BDT,https://chaldn.com/_mpimage/vaseline-blueseal-vitamin-e-jelly-50-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136679&q=best&v=1&m=400&webp=1,images/Vaseline_Blueseal_Vitamin_E_Jelly_50_ml.jpg
Vaseline Blueseal Original Petroleum Jelly 250 ml,880,BDT,https://chaldn.com/_mpimage/vaseline-blueseal-original-petroleum-jelly-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136678&q=best&v=1&m=400&webp=1,images/Vaseline_Blueseal_Original_Petroleum_Jelly_250_ml.jpg
Cute Refined Glycerine 60 ml,50,BDT,https://chaldn.com/_mpimage/cute-refined-glycerine-60-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D67701&q=best&v=1&m=400&m=400&webp=1,images/Cute_Refined_Glycerine_60_ml.jpg
Cute Pomade 50 gm,70,BDT,https://chaldn.com/_mpimage/cute-pomade-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127257&q=best&v=1&m=400&webp=1,images/Cute_Pomade_50_gm.jpg
Meril Petroleum Jelly Lemon Fresh 100 ml,110,BDT,https://chaldn.com/_mpimage/meril-petroleum-jelly-lemon-fresh-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D152127&q=best&v=1&m=400&webp=1,images/Meril_Petroleum_Jelly_Lemon_Fresh_100_ml.jpg
Parachute SkinPure Petroleum Jelly 100 ml,110,BDT,https://chaldn.com/_mpimage/parachute-skinpure-petroleum-jelly-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107088&q=best&v=1&m=400&m=400&webp=1,images/Parachute_SkinPure_Petroleum_Jelly_100_ml.jpg
Parachute SkinPure Petroleum Jelly 50 ml,65,BDT,https://chaldn.com/_mpimage/parachute-skinpure-petroleum-jelly-50-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131973&q=best&v=1&m=400&m=400&webp=1,images/Parachute_SkinPure_Petroleum_Jelly_50_ml.jpg
Vaseline Petroleum Jelly 100 ml,250,BDT,https://chaldn.com/_mpimage/vaseline-petroleum-jelly-100-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136945&q=best&v=1&m=400&webp=1,images/Vaseline_Petroleum_Jelly_100_ml.jpg
Meril Glycerin 120 gm,115,BDT,https://chaldn.com/_mpimage/meril-glycerin-120-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186174&q=best&v=1&m=400&webp=1,images/Meril_Glycerin_120_gm.jpg
Tibet Glycerin 125 gm,115,BDT,https://chaldn.com/_mpimage/tibet-glycerin-125-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D139132&q=best&v=1&m=400&webp=1,images/Tibet_Glycerin_125_gm.jpg
Vaseline Skin Protecting Jelly 5.5 ml,25,BDT,https://chaldn.com/_mpimage/vaseline-skin-protecting-jelly-55-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D167662&q=best&v=1&m=400&webp=1,images/Vaseline_Skin_Protecting_Jelly_55_ml.jpg
Vaseline Petroleum Jelly 50 ml,65,BDT,https://chaldn.com/_mpimage/vaseline-petroleum-jelly-50-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136946&q=best&v=1&m=400&webp=1,images/Vaseline_Petroleum_Jelly_50_ml.jpg
Meril Petroleum Jelly Lemon Fresh 50 ml,65,BDT,https://chaldn.com/_mpimage/meril-petroleum-jelly-lemon-fresh-50-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D152132&q=best&v=1&m=400&webp=1,images/Meril_Petroleum_Jelly_Lemon_Fresh_50_ml.jpg
