name,price,currency,image_url,image_location
Olympic Dry Cake Biscuit 290 gm,150,BDT,https://chaldn.com/_mpimage/olympic-dry-cake-biscuit-290-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D183198&q=best&v=1&m=400&webp=1,images/Olympic_Dry_Cake_Biscuit_290_gm.jpg
Wonder Muffin Cake 16 gm 6 pcs,60,BDT,https://chaldn.com/_mpimage/wonder-muffin-cake-16-gm-6-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D154781&q=best&v=1&m=400&webp=1,images/Wonder_Muffin_Cake_16_gm_6_pcs.jpg
Ispahani Bakery Fresh Dry Cake 300 gm,150,BDT,https://chaldn.com/_mpimage/ispahani-bakery-fresh-dry-cake-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176305&q=best&v=1&m=400&m=400&webp=1,images/Ispahani_Bakery_Fresh_Dry_Cake_300_gm.jpg
Olympic Chocolate Soft Cake 40 gm,20,BDT,https://chaldn.com/_mpimage/olympic-chocolate-soft-cake-40-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D183213&q=best&v=1&m=400&webp=1,images/Olympic_Chocolate_Soft_Cake_40_gm.jpg
Dan Cake Vanilla Layer Cake 12 pack 324 gm,300,BDT,https://chaldn.com/_mpimage/dan-cake-vanilla-layer-cake-12-pack-324-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D121962&q=best&v=1&m=400&m=400&webp=1,images/Dan_Cake_Vanilla_Layer_Cake_12_pack_324_gm.jpg
Dan Cake Fruit Cake Sliced 300 gm,180,BDT,https://chaldn.com/_mpimage/dan-cake-fruit-cake-sliced-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D140883&q=best&v=1&m=400&m=400&webp=1,images/Dan_Cake_Fruit_Cake_Sliced_300_gm.jpg
Dan Cake Marble Dry Cake 280 gm,200,BDT,https://chaldn.com/_mpimage/dan-cake-marble-dry-cake-280-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169221&q=best&v=1&m=400&m=400&webp=1,images/Dan_Cake_Marble_Dry_Cake_280_gm.jpg
Dan Cake Dry Cake 300 gm,200,BDT,https://chaldn.com/_mpimage/dan-cake-dry-cake-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133280&q=best&v=1&m=400&webp=1,images/Dan_Cake_Dry_Cake_300_gm.jpg
Dan Cake Marble cake 300 gm,200,BDT,https://chaldn.com/_mpimage/dan-cake-marble-cake-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127432&q=best&v=1&m=400&m=400&webp=1,images/Dan_Cake_Marble_cake_300_gm.jpg
Kishwan Dry Cake 300 gm,150,BDT,https://chaldn.com/_mpimage/kishwan-dry-cake-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D88259&q=best&v=1&m=400&webp=1,images/Kishwan_Dry_Cake_300_gm.jpg
Olympic Ghee Soft Cake 40 gm,20,BDT,https://chaldn.com/_mpimage/olympic-ghee-soft-cake-40-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131550&q=best&v=1&m=400&webp=1,images/Olympic_Ghee_Soft_Cake_40_gm.jpg
Dan Cake Chocolate Pound Cake 220 gm,130,BDT,https://chaldn.com/_mpimage/dan-cake-chocolate-pound-cake-220-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D179707&q=best&v=1&m=400&webp=1,images/Dan_Cake_Chocolate_Pound_Cake_220_gm.jpg
