name,price,currency,image_url,image_location
Ifad Eggy Stix Bar-B-Q Chips 16 gm,10,BDT,https://chaldn.com/_mpimage/ifad-eggy-stix-bar-b-q-chips-16-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D107019&q=best&v=1&m=400&webp=1,images/Ifad_Eggy_Stix_Bar-B-Q_Chips_16_gm.jpg
Bombay Sweets Potato Crackers 28 gm,20,BDT,https://chaldn.com/_mpimage/bombay-sweets-potato-crackers-28-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177259&q=best&v=1&m=400&webp=1,images/Bombay_Sweets_Potato_Crackers_28_gm.jpg
Kurkure Naughty Tomato Chips 70 gm,50,BDT,https://chaldn.com/_mpimage/kurkure-naughty-tomatochips-70-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D170338&q=best&v=1&m=400&webp=1,images/Kurkure_Naughty_TomatoChips_70_gm.jpg
Sun Chips Tomato Tango 35 gm,30,BDT,https://chaldn.com/_mpimage/sun-chips-tomato-tango-35-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168334&q=best&v=1&m=400&webp=1,images/Sun_Chips_Tomato_Tango_35_gm.jpg
Cheese Puff 14 gm,10,BDT,https://chaldn.com/_mpimage/cheese-puff-14-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D155069&q=best&v=1&m=400&webp=1,images/Cheese_Puff_14_gm.jpg
Bombay Sweets Mr. Twist 22 gm,25,BDT,https://chaldn.com/_mpimage/bombay-sweets-mr-twist-22-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169042&q=best&v=1&m=400&webp=1,images/Bombay_Sweets_Mr_Twist_22_gm.jpg
Bombay Sweets Ring Chips 25 gm,20,BDT,https://chaldn.com/_mpimage/bombay-sweets-ring-chips-25-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D172191&q=best&v=1&m=400&webp=1,images/Bombay_Sweets_Ring_Chips_25_gm.jpg
Sun Chips Mix Masala 20 gm,20,BDT,https://chaldn.com/_mpimage/sun-chips-mix-masala-20-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168336&q=best&v=1&m=400&webp=1,images/Sun_Chips_Mix_Masala_20_gm.jpg
Sun Chips Tomato Tango 20 gm,20,BDT,https://chaldn.com/_mpimage/sun-chips-tomato-tango-20-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168335&q=best&v=1&m=400&webp=1,images/Sun_Chips_Tomato_Tango_20_gm.jpg
Kurkure American Style Cream & Onion Chips 25 gm,20,BDT,https://chaldn.com/_mpimage/kurkure-american-style-cream-onion-chips-25-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168936&q=best&v=1&m=400&webp=1,images/Kurkure_American_Style_Cream__Onion_Chips_25_gm.jpg
Bombay Sweets Cheese Ball Cheezee Corn Snacks 10 gm,10,BDT,https://chaldn.com/_mpimage/bombay-sweets-cheese-ball-cheezee-corn-snacks-10-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184850&q=best&v=1&m=400&webp=1,images/Bombay_Sweets_Cheese_Ball_Cheezee_Corn_Snacks_10_gm.jpg
Pran Potato Cracker 15 gm,10,BDT,https://chaldn.com/_mpimage/pran-potato-cracker-15-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D152284&q=best&v=1&m=400&webp=1,images/Pran_Potato_Cracker_15_gm.jpg
Kurkure Chilli Chatka Chips 25 gm,20,BDT,https://chaldn.com/_mpimage/kurkure-chilli-chatka-chips-25-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169908&q=best&v=1&m=400&webp=1,images/Kurkure_Chilli_Chatka_Chips_25_gm.jpg
Bombay Sweets Nachoz Chutney & Lime 30 gm,20,BDT,https://chaldn.com/_mpimage/bombay-sweets-nachoz-chutney-lime-30-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169044&q=best&v=1&m=400&webp=1,images/Bombay_Sweets_Nachoz_Chutney__Lime_30_gm.jpg
Bombay Sweets Alooz Spanish Tomato Flavor 20 gm,20,BDT,https://chaldn.com/_mpimage/bombay-sweets-alooz-spanish-tomato-flavor-20-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176977&q=best&v=1&m=400&webp=1,images/Bombay_Sweets_Alooz_Spanish_Tomato_Flavor_20_gm.jpg
Pringles Saucy BBQ Potato Chips 134 gm,350,BDT,https://chaldn.com/_mpimage/pringles-saucy-bbq-potato-chips-134-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178932&q=best&v=1&m=400&webp=1,images/Pringles_Saucy_BBQ_Potato_Chips_134_gm.jpg
Kurkure Masala Munch Chips 70 gm,50,BDT,https://chaldn.com/_mpimage/kurkure-masala-munch-chips-70-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D168937&q=best&v=1&m=400&webp=1,images/Kurkure_Masala_Munch_Chips_70_gm.jpg
Mister Potato Hot & Spicy Crisps 100 gm,310,BDT,https://chaldn.com/_mpimage/mister-potato-hot-spicy-crisps-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130783&q=best&v=1&m=400&m=400&webp=1,images/Mister_Potato_Hot__Spicy_Crisps_100_gm.jpg
