name,price,currency,image_url,image_location
Olympic Lexus Vegetable Crackers Biscuits 216 gm,100,BDT,https://chaldn.com/_mpimage/olympic-lexus-vegetable-crackers-biscuits-216-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D115564&q=best&v=1&m=400&webp=1,images/Olympic_Lexus_Vegetable_Crackers_Biscuits_216_gm.jpg
Fresh Fantasy Chocolate Filled Cookies Biscuit 175 gm,150,BDT,https://chaldn.com/_mpimage/fresh-fantasy-chocolate-filled-cookies-biscuit-175-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128620&q=best&v=1&m=400&webp=1,images/Fresh_Fantasy_Chocolate_Filled_Cookies_Biscuit_175_gm.jpg
Haque Mr. Cookie Butter Coconut Biscuit 175 gm,50,BDT,https://chaldn.com/_mpimage/haque-mr-cookie-butter-coconut-biscuit-175-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129113&q=best&v=1&m=400&webp=1,images/Haque_Mr_Cookie_Butter_Coconut_Biscuit_175_gm.jpg
Haque La Kokonat Cookies Biscuit 100 gm,30,BDT,https://chaldn.com/_mpimage/haque-la-kokonat-cookies-biscuit-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177144&q=best&v=1&m=400&webp=1,images/Haque_La_Kokonat_Cookies_Biscuit_100_gm.jpg
Kishwan Ovaltine Biscuit 250 gm,70,BDT,https://chaldn.com/_mpimage/kishwan-ovaltine-biscuit-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132360&q=best&v=1&m=400&webp=1,images/Kishwan_Ovaltine_Biscuit_250_gm.jpg
Ifad Nutri Bite Vegetable Crackers Biscuit 180 gm,100,BDT,https://chaldn.com/_mpimage/ifad-nutri-bite-vegetable-crackers-biscuit-180-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D165424&q=best&v=1&m=400&webp=1,images/Ifad_Nutri_Bite_Vegetable_Crackers_Biscuit_180_gm.jpg
Haque Mr. Cookie Butter Coconut Biscuit 35 gm,10,BDT,https://chaldn.com/_mpimage/haque-mr-cookie-butter-coconut-biscuit-35-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D140369&q=best&v=1&m=400&webp=1,images/Haque_Mr_Cookie_Butter_Coconut_Biscuit_35_gm.jpg
Fresh Butter Cookies Biscuit Jar 750 gm,200,BDT,https://chaldn.com/_mpimage/fresh-butter-cookies-biscuit-jar-750-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169151&q=best&v=1&m=400&webp=1,images/Fresh_Butter_Cookies_Biscuit_Jar_750_gm.jpg
Danish Lexus Vegetable Cracker Biscuit 180 gm,100,BDT,https://chaldn.com/_mpimage/danish-lexus-vegetable-cracker-biscuit-180-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D124076&q=best&v=1&m=400&webp=1,images/Danish_Lexus_Vegetable_Cracker_Biscuit_180_gm.jpg
Dekko Kheer Cookies Biscuit Family Pack 265 gm,70,BDT,https://chaldn.com/_mpimage/dekko-kheer-cookies-biscuit-family-pack-265-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103393&q=best&v=1&m=400&m=400&webp=1,images/Dekko_Kheer_Cookies_Biscuit_Family_Pack_265_gm.jpg
Kishwan Magica Choco Filled Cookies 180 gm,150,BDT,https://chaldn.com/_mpimage/kishwan-magica-choco-filled-cookies-180-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D75185&q=best&v=1&m=400&webp=1,images/Kishwan_Magica_Choco_Filled_Cookies_180_gm.jpg
Kishwan Horlicks Biscuit 250 gm,70,BDT,https://chaldn.com/_mpimage/kishwan-horlicks-biscuit-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132361&q=best&v=1&m=400&webp=1,images/Kishwan_Horlicks_Biscuit_250_gm.jpg
