name,price,currency,image_url,image_location
80 Golden Grain Red Flattened Rice (Lal Chira) 500 gm,65,BDT,https://chaldn.com/_mpimage/golden-grain-red-flattened-rice-lal-chira-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186706&q=best&v=1&m=400&webp=1,images/80_Golden_Grain_Red_Flattened_Rice_Lal_Chira_500_gm.jpg
Pran Puffed Rice (Muri) 500 gm,75,BDT,https://chaldn.com/_mpimage/pran-puffed-rice-muri-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132327&q=best&v=1&m=400&webp=1,images/Pran_Puffed_Rice_Muri_500_gm.jpg
Ruchi Jhal Chanachur 150 gm,50,BDT,https://chaldn.com/_mpimage/ruchi-jhal-chanachur-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133072&q=best&v=1&m=400&webp=1,images/Ruchi_Jhal_Chanachur_150_gm.jpg
Ramisa Fried Chira (Masala) 200 gm,70,BDT,https://chaldn.com/_mpimage/ramisa-fried-chira-masala-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186554&q=best&v=1&m=400&webp=1,images/Ramisa_Fried_Chira_Masala_200_gm.jpg
Pran Mango Bar 10 pcs,100,BDT,https://chaldn.com/_mpimage/pran-mango-bar-10-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108330&q=best&v=1&m=400&webp=1,images/Pran_Mango_Bar_10_pcs.jpg
Pran Flattened Rice (Chira) 500 gm,70,BDT,https://chaldn.com/_mpimage/pran-flattened-rice-chira-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163265&q=best&v=1&m=400&webp=1,images/Pran_Flattened_Rice_Chira_500_gm.jpg
Bombay Sweets Chanachur 150 gm,50,BDT,https://chaldn.com/_mpimage/bombay-sweets-chanachur-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178781&q=best&v=1&m=400&webp=1,images/Bombay_Sweets_Chanachur_150_gm.jpg
Ruchi Bbq Chanachur 22 gm,10,BDT,https://chaldn.com/_mpimage/ruchi-bbq-chanachur-22-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133061&q=best&v=1&m=400&webp=1,images/Ruchi_Bbq_Chanachur_22_gm.jpg
Ruchi Puffed Rice (Muri) 200 gm,35,BDT,https://chaldn.com/_mpimage/ruchi-puffed-rice-muri-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133077&q=best&v=1&m=400&webp=1,images/Ruchi_Puffed_Rice_Muri_200_gm.jpg
Ruchi Jhal Chanachur 500 gm,150,BDT,https://chaldn.com/_mpimage/ruchi-jhal-chanachur-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D169198&q=best&v=1&m=400&webp=1,images/Ruchi_Jhal_Chanachur_500_gm.jpg
