name,price,currency,image_url,image_location
Kolson Macaroni Pasta Screw 400 gm,85,BDT,https://chaldn.com/_mpimage/kolson-macaroni-pasta-screw-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131775&q=best&v=1&m=400&webp=1,images/Kolson_Macaroni_Pasta_Screw_400_gm.jpg
Kolson Macaroni Shell 400 gm,85,BDT,https://chaldn.com/_mpimage/kolson-macaroni-shell-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113045&q=best&v=1&m=400&webp=1,images/Kolson_Macaroni_Shell_400_gm.jpg
Farina Macaroni Premium Quality 500 gm,110,BDT,https://chaldn.com/_mpimage/farina-macaroni-premium-quality-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185301&q=best&v=1&m=400&webp=1,images/Farina_Macaroni_Premium_Quality_500_gm.jpg
Farina Macaroni 400 gm,90,BDT,https://chaldn.com/_mpimage/farina-macaroni-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185298&q=best&v=1&m=400&webp=1,images/Farina_Macaroni_400_gm.jpg
Farina Macaroni 200 gm,50,BDT,https://chaldn.com/_mpimage/farina-macaroni-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185297&q=best&v=1&m=400&webp=1,images/Farina_Macaroni_200_gm.jpg
Kolson Macaroni Bamboo 400 gm,85,BDT,https://chaldn.com/_mpimage/kolson-macaroni-bamboo-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131774&q=best&v=1&m=400&webp=1,images/Kolson_Macaroni_Bamboo_400_gm.jpg
Mr. Pasta Macaroni Shells 400 gm,90,BDT,https://chaldn.com/_mpimage/mr-pasta-macaroni-shells-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174427&q=best&v=1&m=400&webp=1,images/Mr_Pasta_Macaroni_Shells_400_gm.jpg
Farmer's Gold Pasta 400 gm,180,BDT,https://chaldn.com/_mpimage/farmers-gold-pasta-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D149085&q=best&v=1&m=400&webp=1,images/Farmers_Gold_Pasta_400_gm.jpg
Barilla Classic Spaghettoni N.7 Pasta 500 gm,395,BDT,https://chaldn.com/_mpimage/barilla-classic-spaghettoni-n7-pasta-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127431&q=best&v=1&m=400&m=400&webp=1,images/Barilla_Classic_Spaghettoni_N7_Pasta_500_gm.jpg
Emirates Macaroni Penne Rigate Pasta 400 gm,195,BDT,https://chaldn.com/_mpimage/emirates-macaroni-penne-rigate-pasta-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D92046&q=best&v=1&m=400&webp=1,images/Emirates_Macaroni_Penne_Rigate_Pasta_400_gm.jpg
Emirates Macaroni Corni Corrugated Pasta 400 gm,195,BDT,https://chaldn.com/_mpimage/emirates-macaroni-corni-corrugated-pasta-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D92043&q=best&v=1&m=400&m=400&webp=1,images/Emirates_Macaroni_Corni_Corrugated_Pasta_400_gm.jpg
Reggia Pasta Penne Mez 500 gm,265,BDT,https://chaldn.com/_mpimage/reggia-pasta-penne-mez-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132657&q=best&v=1&m=400&m=400&webp=1,images/Reggia_Pasta_Penne_Mez_500_gm.jpg
Barilla Fusilli N.98 Pasta 500 gm,449,BDT,https://chaldn.com/_mpimage/barilla-fusilli-n98-pasta-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D153065&q=best&v=1&m=400&webp=1,images/Barilla_Fusilli_N98_Pasta_500_gm.jpg
Barilla Spaghetti N.5 Pasta 500 gm,449,BDT,https://chaldn.com/_mpimage/barilla-spaghetti-n5-pasta-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D153064&q=best&v=1&m=400&webp=1,images/Barilla_Spaghetti_N5_Pasta_500_gm.jpg
Barilla Angel Hair N.1 Pasta 500 gm,360,BDT,https://chaldn.com/_mpimage/barilla-angel-hair-n1-pasta-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D153063&q=best&v=1&m=400&m=400&webp=1,images/Barilla_Angel_Hair_N1_Pasta_500_gm.jpg
Barilla Pasta Sauce Jar Napoletana 400 gm,599,BDT,https://chaldn.com/_mpimage/barilla-pasta-sauce-jar-napoletana-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125437&q=best&v=1&m=400&webp=1,images/Barilla_Pasta_Sauce_Jar_Napoletana_400_gm.jpg
Barilla Pasta Sauce Jar Arrabbiata 400 gm,599,BDT,https://chaldn.com/_mpimage/barilla-pasta-sauce-jar-arrabbiata-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125435&q=best&v=1&m=400&m=400&webp=1,images/Barilla_Pasta_Sauce_Jar_Arrabbiata_400_gm.jpg
Barilla Pasta Sauce Jar Basilico 400 gm,599,BDT,https://chaldn.com/_mpimage/barilla-pasta-sauce-jar-basilico-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125436&q=best&v=1&m=400&m=400&webp=1,images/Barilla_Pasta_Sauce_Jar_Basilico_400_gm.jpg
Pastiano Spiralli Pasta 500 gm,240,BDT,https://chaldn.com/_mpimage/pastiano-spiralli-pasta-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132016&q=best&v=1&m=400&webp=1,images/Pastiano_Spiralli_Pasta_500_gm.jpg
