name,price,currency,image_url,image_location
Ramisa Fried Nut (White) Jar 200 gm,160,BDT,https://chaldn.com/_mpimage/ramisa-fried-nut-white-jar-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186472&q=best&v=1&m=400&webp=1,images/Ramisa_Fried_Nut_White_Jar_200_gm.jpg
Royal Gardens Salted Cashews 100 gm,435,BDT,https://chaldn.com/_mpimage/royal-gardens-salted-cashews-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D138791&q=best&v=1&m=400&webp=1,images/Royal_Gardens_Salted_Cashews_100_gm.jpg
165 Almonds (Kath Badam) 100 gm,159,BDT,https://chaldn.com/_mpimage/almonds-kath-badam-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184611&q=best&v=1&m=400&m=400&webp=1,images/165_Almonds_Kath_Badam_100_gm.jpg
199 Walnuts (Akhrot) 100 gm,179,BDT,https://chaldn.com/_mpimage/walnuts-akhrot-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184610&q=best&v=1&m=400&webp=1,images/199_Walnuts_Akhrot_100_gm.jpg
49 Peanut Peeled (Vaja Cheena Badam) 100 gm,45,BDT,https://chaldn.com/_mpimage/peanut-peeled-vaja-cheena-badam-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184613&q=best&v=1&m=400&webp=1,images/49_Peanut_Peeled_Vaja_Cheena_Badam_100_gm.jpg
Pran Badam Bhaja 18 gm 4 pcs,40,BDT,https://chaldn.com/_mpimage/pran-badam-bhaja-18-gm-4-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108073&q=best&v=1&m=400&webp=1,images/Pran_Badam_Bhaja_18_gm_4_pcs.jpg
Royal Gardens Masala Cashews 150 gm,695,BDT,https://chaldn.com/_mpimage/royal-gardens-masala-cashews-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D137047&q=best&v=1&m=400&webp=1,images/Royal_Gardens_Masala_Cashews_150_gm.jpg
Fresh Garden Love Plum 200 gm,345,BDT,https://chaldn.com/_mpimage/fresh-garden-love-plum-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128630&q=best&v=1&m=400&m=400&webp=1,images/Fresh_Garden_Love_Plum_200_gm.jpg
Golden Garden Roasted Peanut Kernels 500 gm,350,BDT,https://chaldn.com/_mpimage/golden-garden-roasted-peanut-kernels-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95969&q=best&v=1&m=400&m=400&webp=1,images/Golden_Garden_Roasted_Peanut_Kernels_500_gm.jpg
Victoria Chick Peas 400 gm,119,BDT,https://chaldn.com/_mpimage/victoria-chick-peas-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D100959&q=best&v=1&m=400&m=400&webp=1,images/Victoria_Chick_Peas_400_gm.jpg
Blue Diamond Almonds Bold Habanero BBQ 170 gm,850,BDT,https://chaldn.com/_mpimage/blue-diamond-almonds-bold-habanero-bbq-170-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125844&q=best&v=1&m=400&webp=1,images/Blue_Diamond_Almonds_Bold_Habanero_BBQ_170_gm.jpg
Blue Diamond Almonds Honey Roasted 170 gm,850,BDT,https://chaldn.com/_mpimage/blue-diamond-almonds-honey-roasted-170-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125854&q=best&v=1&m=400&m=400&webp=1,images/Blue_Diamond_Almonds_Honey_Roasted_170_gm.jpg
Blue Diamond Almonds Bold Wasabi & Soy Sauce 170 gm,850,BDT,https://chaldn.com/_mpimage/blue-diamond-almonds-bold-wasabi-soy-sauce-170-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125848&q=best&v=1&m=400&webp=1,images/Blue_Diamond_Almonds_Bold_Wasabi__Soy_Sauce_170_gm.jpg
Thai Park Roseberry Plum 200 gm,260,BDT,https://chaldn.com/_mpimage/thai-park-roseberry-plum-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D75367&q=best&v=1&m=400&m=400&webp=1,images/Thai_Park_Roseberry_Plum_200_gm.jpg
Fit Food Honey Roasted Almond 125 gm,260,BDT,https://chaldn.com/_mpimage/fit-food-honey-roasted-almond-125-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128533&q=best&v=1&m=400&webp=1,images/Fit_Food_Honey_Roasted_Almond_125_gm.jpg
