name,price,currency,image_url,image_location
Bragg Organic Apple Cider Vinegar 946 ml,1499,BDT,https://chaldn.com/_mpimage/bragg-organic-apple-cider-vinegar-946-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126229&q=best&v=1&m=400&webp=1,images/Bragg_Organic_Apple_Cider_Vinegar_946_ml.jpg
Pran Synthetic Vinegar 650 ml,55,BDT,https://chaldn.com/_mpimage/pran-synthetic-vinegar-650-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D158547&q=best&v=1&m=400&webp=1,images/Pran_Synthetic_Vinegar_650_ml.jpg
Ahmed White Vinegar 500 ml,70,BDT,https://chaldn.com/_mpimage/ahmed-white-vinegar-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123201&q=best&v=1&m=400&webp=1,images/Ahmed_White_Vinegar_500_ml.jpg
American Garden Real Mayonnaise 887 ml,1535,BDT,https://chaldn.com/_mpimage/american-garden-real-mayonnaise-887-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D180140&q=best&v=1&m=400&webp=1,images/American_Garden_Real_Mayonnaise_887_ml.jpg
Kewpie Dressing Roasted Sesame Salad 210 ml,365,BDT,https://chaldn.com/_mpimage/kewpie-dressing-roasted-sesame-salad-210-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108599&q=best&v=1&m=400&m=400&webp=1,images/Kewpie_Dressing_Roasted_Sesame_Salad_210_ml.jpg
Herman Garlic Mayonnaise 500 gm,520,BDT,https://chaldn.com/_mpimage/herman-garlic-mayonnaise-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129214&q=best&v=1&m=400&m=400&webp=1,images/Herman_Garlic_Mayonnaise_500_gm.jpg
American Garden Real Mayonnaise 473 ml,965,BDT,https://chaldn.com/_mpimage/american-garden-real-mayonnaise-473-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177296&q=best&v=1&m=400&webp=1,images/American_Garden_Real_Mayonnaise_473_ml.jpg
American Garden Pizza Sauce Classic 397 ml,670,BDT,https://chaldn.com/_mpimage/american-garden-pizza-sauce-classic-397-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177295&q=best&v=1&m=400&webp=1,images/American_Garden_Pizza_Sauce_Classic_397_ml.jpg
Thai Choice Som Tum Salad Dressing 200 ml,275,BDT,https://chaldn.com/_mpimage/thai-choice-som-tum-salad-dressing-200-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D46868&q=best&v=1&m=400&webp=1,images/Thai_Choice_Som_Tum_Salad_Dressing_200_ml.jpg
Remia Salad Dressing Garlic 250 ml,330,BDT,https://chaldn.com/_mpimage/remia-salad-dressing-garlic-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132687&q=best&v=1&m=400&webp=1,images/Remia_Salad_Dressing_Garlic_250_ml.jpg
850 Saporito Red Grape Vinegar 500 ml,619,BDT,https://chaldn.com/_mpimage/saporito-red-grape-vinegar-500-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133149&q=best&v=1&m=400&webp=1,images/850_Saporito_Red_Grape_Vinegar_500_ml.jpg
Ahmed White Vinegar 325 ml,58,BDT,https://chaldn.com/_mpimage/ahmed-white-vinegar-325-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123202&q=best&v=1&m=400&webp=1,images/Ahmed_White_Vinegar_325_ml.jpg
Remia Salad Cream 250 ml,330,BDT,https://chaldn.com/_mpimage/remia-salad-cream-250-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132686&q=best&v=1&m=400&webp=1,images/Remia_Salad_Cream_250_ml.jpg
