name,price,currency,image_url,image_location
University khata 300 Pages each,169,BDT,https://chaldn.com/_mpimage/university-khata-300-pages-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D114550&q=best&v=1&m=400&webp=1,images/University_khata_300_Pages_each.jpg
Pencil Bag (Yellow) each,40,BDT,https://chaldn.com/_mpimage/pencil-bag-yellow-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D109717&q=best&v=1&m=400&webp=1,images/Pencil_Bag_Yellow_each.jpg
Pencil Box (Red) each,114,BDT,https://chaldn.com/_mpimage/pencil-box-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D97818&q=best&v=1&m=400&webp=1,images/Pencil_Box_Red_each.jpg
Pencil Box (Pink) each,114,BDT,https://chaldn.com/_mpimage/pencil-box-pink-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D97789&q=best&v=1&m=400&webp=1,images/Pencil_Box_Pink_each.jpg
Pencil Box (Purple) each,114,BDT,https://chaldn.com/_mpimage/pencil-box-purple-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D97788&q=best&v=1&m=400&webp=1,images/Pencil_Box_Purple_each.jpg
Pencil Box (Blue) each,114,BDT,https://chaldn.com/_mpimage/pencil-box-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D97787&q=best&v=1&m=400&webp=1,images/Pencil_Box_Blue_each.jpg
Matador i-teen Aroma Ball Pen Black Ink 6 pcs,73,BDT,https://chaldn.com/_mpimage/matador-i-teen-aroma-ball-pen-black-ink-6-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D88577&q=best&v=1&m=400&m=400&webp=1,images/Matador_i-teen_Aroma_Ball_Pen_Black_Ink_6_pcs.jpg
Deli Compass Set each,400,BDT,https://chaldn.com/_mpimage/deli-compass-set-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103648&q=best&v=1&m=400&webp=1,images/Deli_Compass_Set_each.jpg
Casio Scientific Calculator (FX 991ES Plus) each,1339,BDT,https://chaldn.com/_mpimage/casio-scientific-calculator-fx-991es-plus-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D54071&q=low&v=1&m=400&webp=1,images/Casio_Scientific_Calculator_FX_991ES_Plus_each.jpg
330 Faber Castell HB pencil (with Eraser) 12 pcs,249,BDT,https://chaldn.com/_mpimage/faber-castell-hb-pencil-with-eraser-12-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D128271&q=best&v=1&m=400&webp=1,images/330_Faber_Castell_HB_pencil_with_Eraser_12_pcs.jpg
