name,price,currency,image_url,image_location
Red Leaf 707 Permanent Marker (Red) each,79,BDT,https://chaldn.com/_mpimage/red-leaf-707-permanent-marker-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126126&q=best&v=1&m=400&webp=1,images/Red_Leaf_707_Permanent_Marker_Red_each.jpg
Red Leaf 707 Permanent Marker (Blue) each,79,BDT,https://chaldn.com/_mpimage/red-leaf-707-permanent-marker-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126125&q=best&v=1&m=400&m=400&webp=1,images/Red_Leaf_707_Permanent_Marker_Blue_each.jpg
Red Leaf White Board Marker Pen 737 (Black) each,139,BDT,https://chaldn.com/_mpimage/red-leaf-white-board-marker-pen-737-black-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126124&q=best&v=1&m=400&webp=1,images/Red_Leaf_White_Board_Marker_Pen_737_Black_each.jpg
Faber Castell Highlighter Marker (Nion Red) each,79,BDT,https://chaldn.com/_mpimage/faber-castell-highlighter-marker-nion-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D141980&q=best&v=1&m=400&webp=1,images/Faber_Castell_Highlighter_Marker_Nion_Red_each.jpg
Deli Liquid Highlighter Chisel Tip (Yellow) each,35,BDT,https://chaldn.com/_mpimage/deli-liquid-highlighter-chisel-tip-yellow-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127608&q=best&v=1&m=400&webp=1,images/Deli_Liquid_Highlighter_Chisel_Tip_Yellow_each.jpg
Red Leaf 707 Permanent Marker (Black) each,109,BDT,https://chaldn.com/_mpimage/red-leaf-707-permanent-marker-black-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D110524&q=best&v=1&m=400&webp=1,images/Red_Leaf_707_Permanent_Marker_Black_each.jpg
Red Leaf 303 Flourescent Highlighter (Pink) each,59,BDT,https://chaldn.com/_mpimage/red-leaf-303-flourescent-highlighter-pink-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132647&q=best&v=1&m=400&webp=1,images/Red_Leaf_303_Flourescent_Highlighter_Pink_each.jpg
Red Leaf 303 Flourescent Highlighter (Blue) each,59,BDT,https://chaldn.com/_mpimage/red-leaf-303-flourescent-highlighter-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132641&q=best&v=1&m=400&webp=1,images/Red_Leaf_303_Flourescent_Highlighter_Blue_each.jpg
Red Leaf 303 Flourescent Highlighter (Orange) each,59,BDT,https://chaldn.com/_mpimage/red-leaf-303-flourescent-highlighter-orange-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132646&q=best&v=1&m=400&webp=1,images/Red_Leaf_303_Flourescent_Highlighter_Orange_each.jpg
Red Leaf 303 Flourescent Highlighter (Green) each,59,BDT,https://chaldn.com/_mpimage/red-leaf-303-flourescent-highlighter-green-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132642&q=best&v=1&m=400&webp=1,images/Red_Leaf_303_Flourescent_Highlighter_Green_each.jpg
Faber Castell Highlighter Marker (Green) each,45,BDT,https://chaldn.com/_mpimage/faber-castell-highlighter-marker-green-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D99397&q=best&v=1&m=400&webp=1,images/Faber_Castell_Highlighter_Marker_Green_each.jpg
Faber Castell Highlighter Marker (Blue) each,45,BDT,https://chaldn.com/_mpimage/faber-castell-highlighter-marker-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D109058&q=best&v=1&m=400&webp=1,images/Faber_Castell_Highlighter_Marker_Blue_each.jpg
Faber Castell Highlighter Marker (Yellow) each,45,BDT,https://chaldn.com/_mpimage/faber-castell-highlighter-marker-yellow-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D99401&q=best&v=1&m=400&m=400&webp=1,images/Faber_Castell_Highlighter_Marker_Yellow_each.jpg
Red Leaf White Board Marker Pen (Black) each,139,BDT,https://chaldn.com/_mpimage/red-leaf-white-board-marker-pen-black-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D99404&q=best&v=1&m=400&m=400&webp=1,images/Red_Leaf_White_Board_Marker_Pen_Black_each.jpg
